day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI
19347,53187234,1671666362,10369152.772609942,209555.841439275705462120233794,41.9111682878551410924240467588,3863.1621607021657,4672.355287312718,1218.070544,1212.14,8506.638545432163,1218.9483210354458,4.031123796019979e-06,1.7768872967108716e-21,4.757822785725789e-18
19348,53733768,1671753472,10359507.73605242,64085.0000108504954042613291185,12.8170000021700990808522658237,3875.585708921651,4619.490550930823,1222.066893,1217.295,8466.373490080281,1223.6062758382027,1.2346264855656582e-06,1.799011189257466e-21,4.79609155364724e-18
19349,54235824,1671839839,10466082.410964482,190115.940013955755235679993504,38.0231880027911510471359987008,3974.8748286488185,4593.197761775976,1223.608502,1219.714906,8539.18463474398,1225.6536026145163,3.626888116083899e-06,1.7784996350907907e-21,4.7719451729541724e-18
19350,54696590,1671925918,10447605.147117503,11472.8019980921137033488587465,2.2945603996184227406697717493,3992.3058763745735,4565.278497520965,1219.959781,1221.645634,8528.755943920853,1224.9858262815426,2.1979229921756373e-07,1.786803598572293e-21,4.673605721317833e-18
19351,55219246,1672012641,10416018.222740503,33.275202772311668477614637,0.0066550405544623336955229274,3993.1772033280813,4567.504476209306,1216.507665,1216.92,8531.841017227585,1220.840637056922,6.390605683559914e-10,1.780558764909405e-21,4.69154724844358e-18
19352,55725825,1672098722,10473272.57925697,2171.263766143743031134440389,0.4342527532287486062268880778,3995.7373474717383,4568.230307435849,1220.495465,1225.09,8535.114991559096,1227.0804306227437,4.154713131266946e-08,1.8060231036499444e-21,4.732835448244639e-18
19353,56246615,1672185017,9786021.147255624,6785.282299536543610125709031,1.3570564599073087220251418062,3762.048882274648,4315.461052349572,1210.223782,1212.639868,8050.28286942175,1215.6120854370117,1.3885654359162678e-07,1.9131840506354916e-21,5.031817344853263e-18
19354,56846884,1672271939,9622435.729278266,15975.8513717280506864963450875,3.1951702743456101372992690175,3768.3850276892204,4318.779021431329,1189.263628,1190.34395,8059.900553582011,1193.865316986055,3.322229433683922e-07,1.8934013516924515e-21,4.885434895842671e-18
19355,57412030,1672357941,10051338.51176348,22244.864373788741562730947126,4.4489728747577483125461894252,3792.0167671705253,4587.574197656924,1197.678255,1201.01,8351.12494473926,1203.5909626876387,4.433189811936932e-07,1.8157228719479947e-21,4.912297351035496e-18
19356,57994641,1672444207,11470286.891386412,169801.09807661378195827979565,33.96021961532275639165595913,4454.995418781974,5122.2813149359245,1196.180435,1198.940112,9544.908237013418,1201.7178800008496,2.9645853697026326e-06,1.6178801977840035e-21,4.315918728895702e-18
