day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19420,78634145,1677973583,14335879.299393967,8660.168552630876388543613874,1.7320337105261752777087227748,4162.936552345084,4530.894162109516,1739.8972,1565.43,8964.073693722932,1599.2594203495478,1.0855895162064512e-07,0.0,1.5974083881657985e-18,
19421,78791327,1678060459,14395221.5862339,9480.612127242799418020612414,1.8961224254485598836041224828,4143.719497768673,4597.736539833697,1739.592813,1563.125,9008.555388717554,1597.9500558172385,1.1837328154146517e-07,0.0,1.6778908899104396e-18,
19422,78951469,1678146746,14437484.782727934,47833.180856581904945136447968,9.5666361713163809890272895936,4135.887747574525,4610.298847440061,1744.160882,1566.89,9012.313930591656,1601.9731329732006,5.953887597159821e-07,0.0,1.6066758245213162e-18,
19423,79147427,1678233567,14745056.488469291,154573.0681438460948803935269235,30.9146136287692189760787053847,4266.431193608175,4692.938577155468,1737.115569,1562.725,9235.224694238497,1596.6104752890492,1.8857159156915408e-06,0.0,1.5669037308217547e-18,
19424,79378862,1678319552,14715545.311879355,74785.648426182881625312271659,14.9571296852365763250624543318,4337.042958334885,4766.882607832264,1706.660599,1534.27,9384.401030685483,1568.085726916602,9.134784794949057e-07,0.0,1.4767705338232156e-18,
19425,79657978,1678406300,13661478.228699893,310211.5305574171149429281587255,62.0423061114834229885856317451,4452.968186180378,4554.214376233601,1597.703265,1437.56,9302.376932093575,1468.6008026150007,4.078481448638777e-06,0.0,1.4956867611627864e-18,
19426,79936944,1678492699,13814029.107523844,238002.960553737008716316069034,47.6005921107474017432632138068,4471.741889921489,4651.560239970185,1600.878682,1430.77,9418.037466907199,1466.7630231949215,3.087658158910326e-06,0.0,1.5319670755804908e-18,
19427,80172455,1678578995,14591852.568872146,1575092.566100915807095549036211,315.0185132201831614191098072422,5030.029015899702,4100.73997427458,1688.448516,1487.27,9484.792827468173,1538.4471579193396,1.9270268218183646e-05,0.0,1.3861312621018516e-18,
19428,80399170,1678665304,15733593.450583145,170917.3604414106954666484266965,34.1834720882821390933296853393,5015.471988615739,4309.251021200141,1773.280403,1587.226,9673.445351023476,1626.4725627377932,1.9474478230044212e-06,0.0,1.4057004827162015e-18,
19429,80663513,1678751887,17121699.706424776,794710.920429185342873093728425,158.942184085837068574618745685,5172.73972837647,4461.8543390677905,1862.825762,1677.73,9993.759489928825,1713.2391192402727,8.341609028864638e-06,0.0,1.4355518745133967e-18,
19430,80934418,1678838060,17186943.970886722,601034.8614421380229952723065275,120.2069722884276045990544613055,5077.5354196072285,4430.622878364135,1895.927662,1706.375,9859.578375977399,1743.1723057004401,6.2856120839806095e-06,0.0,1.4861405040596125e-18,
19431,81242255,1678924489,16581290.490154147,168134.06601969156283454525345,33.62681320393831256690905069,5069.189956218245,4399.2106235548035,1835.08621,1654.59,9819.704681197793,1688.5732339693527,1.8223403127753886e-06,0.0,1.2798607797816997e-18,
19432,81509182,1679010554,17068768.979299918,169424.9616030278460874928307885,33.8849923206055692174985661577,5084.669736758018,4529.002695687321,1863.228821,1676.94,9963.672976503683,1713.100080618007,1.7837512669320857e-06,0.0,1.2950072067975204e-18,
19433,81757756,1679095491,18345777.63884618,168037.5071798944166841381761505,33.6075014359788833368276352301,5032.219806413539,4649.526659035631,1990.077768,1791.853126,10024.643577889592,1830.0678219931656,1.6501142743046695e-06,0.0,1.2772491523589609e-18,
19434,82012330,1679183698,18730431.79904553,368745.482241050310652490362777,73.7490964482100621304980725554,5024.060017456523,5054.419386152958,1958.869343,1758.65,10411.920789832018,1798.9410577668943,3.5342362778339596e-06,0.0,1.2287535928089425e-18,
19435,82247183,1679270045,19090301.037805784,133028.767219510564815235005519,26.6057534439021129630470011038,5059.963391258916,4956.46951001161,2006.943144,1802.7433,10355.157409168554,1843.554886080539,1.2579473287353946e-06,0.0,1.2217073151574363e-18,
19436,82507309,1679356373,18099111.29197795,139743.5741968315821346247159345,27.9487148393663164269249431869,4967.317260622768,4899.195647569863,1932.864265,1734.562544,10198.278332323256,1774.7222327334555,1.3851607172571685e-06,0.0,1.1827519629754346e-18,
19437,82769368,1679443008,19002237.744938493,58228.429384527253454748501559,11.6456858769054506909497003118,5007.373291759007,4930.686963894181,2012.866419,1809.7,10272.664041737484,1849.7867415631474,5.514739477943464e-07,0.0,1.1647175583940904e-18,
19438,83034112,1679528837,19807985.270608984,337647.4277697147956417010108575,67.5294855539429591283402021715,5313.4296352738365,5474.1804603767005,1938.113361,1737.238363,11137.230826842546,1778.537733353654,3.0573692847005044e-06,0.0,1.09249946516374e-18,
19439,83259799,1679614099,20118153.144056164,138946.4823108135635505568187095,27.7892964621627127101113637419,5147.168281869933,5316.020156348082,2028.114479,1820.743026,10801.542982472825,1862.5258610460542,1.244835603394189e-06,0.0,1.0764293426215922e-18,
19440,83497724,1679701962,19498168.537290834,32454.9471783703582250317788285,6.4909894356740716450063557657,5223.9756221892285,5322.087304594477,1949.398645,1750.17,10891.09324044824,1790.285704733197,2.98553902312755e-07,0.0,1.0222442890653995e-18,
19441,83704614,1679786917,19530862.527956918,6875.9985002834056242793116595,1.3751997000566811248558623319,5235.908688361682,5395.82599137846,1938.629842,1738.45,10976.155497070022,1779.3901091480066,6.310426954371249e-08,0.0,9.811352546373767e-19,
19442,83922507,1679873443,20078625.45117963,5307.4980958303070890345225065,1.0614996191660614178069045013,5259.136585653665,5417.365526621429,1983.194575,1781.075,11022.50042537349,1821.6035088516933,4.7922488477839185e-08,0.0,9.992579251790093e-19,
19443,84158141,1679957916,19583482.397775635,36501.774131203425016016190034,7.3003548262406850032032380068,5301.249428400197,5540.690879884295,1906.618534,1710.26,11188.860488332533,1750.266027375782,3.341556973855068e-07,0.0,9.843047172121482e-19,
19444,84434474,1680044100,19304395.70479694,125203.179767678285645207604914,25.0406359535356571290415209828,5040.688911726282,5288.5068427525375,1973.063457,1769.6482,10658.582854274908,1811.1596981257596,1.1625944227468842e-06,0.0,5.528903648076467e-19,
19445,84692318,1680133995,17754415.767839625,28429.905960779971733036956432,5.6859811921559943466073912864,4566.912094895475,4804.060440070283,2001.471245,1793.04,9669.103617268132,1836.200796952043,2.8684481084340746e-07,0.0,6.170965989297768e-19,
19446,84974350,1680217245,18563500.204655502,4163.479151374613978355927802,0.8326958302749227956711855604,4798.562150274975,5032.41018801301,1993.151214,1788.2565,10144.573468446451,1829.8945995507027,4.020482261270096e-08,0.0,5.644495585972029e-19,
19447,85251504,1680301374,18837818.928221412,2715.1076317754573885476678175,0.5430215263550914777095335635,4741.245218746165,5022.455255256085,2037.976544,1826.85,10072.385240682734,1870.2440859921412,2.5824112751021425e-08,0.0,5.88788712531257e-19,
