day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD
19038,14213175,1644960660,113864509.9577438147432879426306845,1078791.313637570426455241761163,3236.3739409127112793657252834891,3236.3739409127112793657252834891,2.8423026122131997e-05,3110.7024346872613,3100.627567632712,16980.91865600404,19686.958081808716,52822585.0064581,61041924.95128571
19039,14219994,1645052154,113235208.2837262823133496897869477,1377418.2647607768774914314046986,4132.2547942823306324742942140959,4132.2547942823306324742942140959,3.649266740366125e-05,3142.7523986157353,3132.39394795543,16399.021174716032,19696.48332139324,51538063.13178904,61697145.15193724
19040,14225987,1645132327,104185797.3967488302600692522557327,123150.9084961968973667495477223,369.4527254885906921002486431663,369.4527254885906921002486431663,3.5460949065992336e-06,2891.58318098559,2882.0534312716663,16400.664734417507,19694.95446469855,47423886.30302516,56761911.09372367
19041,14232010,1645213115,101028472.3062463197489419281753977,63348.3849770184385323819059106,190.0451549310553155971457177318,190.0451549310553155971457177318,1.8811049062978391e-06,2803.9471861804923,2794.709896788079,16418.037659395064,19677.592250910573,46035310.49766614,54993161.808580175
19042,14238747,1645304390,99226331.88543273600456171321200231,20209.9551391790638238235689622,60.6298654175371914714707068864,60.6298654175371914714707068864,6.110259672557559e-07,2754.005958816794,2744.9366758942488,16414.70686223072,19679.918975551474,45206200.510814324,54020131.37461841
19043,14243921,1645373919,95777694.90829792426915272096669624,255399.8911581609644184677116684,766.1996734744828932554031350052,766.1996734744828932554031350052,7.999771493854372e-06,2667.1908356143276,2658.3648040442513,16271.272162374327,19703.506017436233,43398587.995271325,52379106.9130266
19044,14250648,1645462907,97415993.2244125320412365098619212,48940.3635819672538167747469712,146.8210907459017614503242409135,146.8210907459017614503242409135,1.5071559185120362e-06,2712.810182296915,2703.832160314125,16253.250130937857,19721.642325458026,44091982.45062688,53324010.77378565
19045,14255713,1645530863,93044152.91693705792734347166043164,147989.1402639503929209176326783,443.9674207918511787627528980347,443.9674207918511787627528980347,4.771577867855839e-06,2591.0695926335075,2582.4622753382832,16203.636341634856,19771.597048923915,41984749.414901316,51059403.50203574
19046,14264831,1645652360,94538877.80956048799079487043427639,144976.6427222693192020352976245,434.9299281668079576061058928736,434.9299281668079576061058928736,4.60054041516055e-06,2632.4474473066703,2623.705707268838,16200.937960113577,19777.660234044226,42648117.77707472,51890760.032485776
19047,14271796,1645745192,92936304.98890030033568297663897903,104863.6235919679358483045808084,314.590870775903807544913742425,314.590870775903807544913742425,3.3850159075452423e-06,2589.802560150022,2581.1790120337787,16130.915286127429,19820.56224880495,41775885.705575936,51160419.28332436
19048,14277861,1645826515,97306234.53669690619869399948297665,17133.7245872265089019011852591,51.4011737616795267057035557773,51.4011737616795267057035557773,5.282413198539165e-07,2711.4040131193433,2702.3729389085115,16127.903172777345,19825.899075376314,43729261.385868676,53576973.15082823
19049,14284834,1645919817,99771554.69748957350560888047472051,125416.4952435799802299752482341,376.2494857307399406899257447023,376.2494857307399406899257447023,3.7711097804533563e-06,2774.985784353066,2765.720845589028,16113.009558310026,19907.353382336096,44713372.467455395,55058182.23003418
19050,14287502,1645955476,99577794.16291504902529351051836266,252216.3570627551351400078931583,756.6490711882654054200236794747,756.6490711882654054200236794747,7.598572327785687e-06,2756.9104078075884,2747.748267839605,16272.554807946852,19912.96622462684,44861975.71164809,54715818.45126696
19051,14297400,1646087989,105640914.9001854958843537880275264,309829.8135907988271584670539101,929.4894407723964814754011617311,929.4894407723964814754011617311,8.798574318015154e-06,2912.40757583894,2902.7625048707864,16373.872685830802,19964.955433627296,47687390.85603592,57953524.04414958
19052,14304149,1646177596,107472420.5003370398806188028474161,181014.5906951700526498063366066,543.0437720855101579494190098204,543.0437720855101579494190098204,5.0528663033490265e-06,2962.903099186227,2953.0581706191238,16344.459513341175,19994.652100387004,48427049.74660237,59045370.75373466
19053,14310539,1646263821,103141187.8354948740968349650854591,634485.9361659628757268686421516,1903.4578084978886271806059264552,1903.4578084978886271806059264552,1.845487577216786e-05,2966.673425875053,2956.918099541986,15854.777686795598,18974.228676679308,47035947.63657324,56105240.19892163
19054,14316453,1646342956,97551542.74119229357093311629427164,176763.439267263481470375596016,530.2903178017904444111267880478,530.2903178017904444111267880478,5.436001347602154e-06,2805.8795049710193,2796.6583918923834,15868.013280917441,18961.132201697463,44523733.24953418,53027809.49165811
19055,14323161,1646432702,90826341.43918347185782101427647792,135387.0238800547279196879697268,406.1610716401641837590639091805,406.1610716401641837590639091805,4.471842256380283e-06,2608.2196597292527,2599.6342107837286,15863.991146336542,19021.74069121433,41376773.58964577,49449567.8495377
19056,14328469,1646504689,92922283.96856630994614685569371717,16996.187430908471386511070538,50.9885622927254141595332116138,50.9885622927254141595332116138,5.487226541910419e-07,2667.27374446361,2658.4919084657313,15847.851058558439,19052.804626791465,42270557.034662746,50651726.93390356
19057,14335854,1646604075,95035954.11550527724011208047103844,251347.2743540507473516972322866,754.0418230621522420550916968596,754.0418230621522420550916968596,7.93427950589838e-06,2627.2070342878746,2618.516130054083,16362.111785009252,19877.40244970323,42986655.17738084,52049298.93812444
19058,14341970,1646686447,88627706.14777050614215573001659905,119265.6148071733081435382303108,357.7968444215199244306146909322,357.7968444215199244306146909322,4.037076665675619e-06,2472.0379485920116,2463.84257922371,16178.330055991313,19739.19142181422,39993445.84325724,48634260.30451326
19059,14347758,1646763721,93896800.19827312641155371011118439,82774.4808826851459781040639471,248.3234426480554379343121918407,248.3234426480554379343121918407,2.644642225546493e-06,2619.883676202105,2611.188375293742,16140.227080946825,19765.4383065716,42285517.45956774,51611282.73870539
19060,14355447,1646866770,97333417.68129625778731942565380049,20514.4436110293322818043885694,61.5433308330879968454131657082,61.5433308330879968454131657082,6.322939469217288e-07,2715.6467445327303,2706.628223782903,16135.060176431447,19772.310644693483,43817123.64096576,53516294.0403305
19061,14362097,1646955234,93672248.74792173779182038066288839,26777.9072991936543821824291965,80.3337218975809631465472875892,80.3337218975809631465472875892,8.576042848481663e-07,2613.2917152430023,2604.6098806938826,16129.490798279741,19780.76811256031,42151064.67423268,51521184.07368906
19062,14368534,1647042888,93072623.52986553944815695234962453,237355.8984169940155920458984064,712.067695250982046776137695219,712.067695250982046776137695219,7.650667492170679e-06,2564.698684654788,2556.2177812040254,16414.225802577097,19941.60301175872,42097543.32549616,50975080.20436938
19063,14375039,1647129221,92984503.8934528975310781037544746,1217265.3227405011102728265583741,3651.7959682215033308184796751221,3651.7959682215033308184796751221,3.927316719790155e-05,2581.327993076031,2572.867874225669,16452.369675393224,19633.943120040058,42468962.39552774,50515541.497925155
19064,14379688,1647193387,92912306.42066055070686579704896447,64271.5793583566663516540939407,192.8147380750699990549622818225,192.8147380750699990549622818225,2.0752335778007826e-06,2579.2760721206755,2570.8137442433144,16432.120189171856,19654.995277532707,42382974.41814203,50529332.00251852
19065,14385236,1647267593,93124581.87131074702358505433782372,28226.3502276342467205777901813,84.6790506829027401617333705435,84.6790506829027401617333705435,9.093093250063778e-07,2584.2960099491424,2575.8167128195914,16416.211440776413,19683.16763149359,42424349.72487994,50700232.1464308
19066,14392222,1647361258,92812683.36219561827910209768596049,108021.0709561213323986483588873,324.0632128683639971959450766614,324.0632128683639971959450766614,3.491583274278666e-06,2579.321397023425,2570.8456905360867,16353.623733383305,19694.46549600261,42181251.614385664,50631431.747809954
19067,14399457,1647458467,97340436.63006595766592930439285342,12705.1463340330888683617713655,38.1154390020992666050853140961,38.1154390020992666050853140961,3.915683997489527e-07,2705.3107177597294,2696.413130832107,16354.391776312228,19691.613524660956,44243711.35489905,53096725.27516691
19068,14406795,1647557748,99843917.87573697142760079265880579,871064.7528448438302352438388509,2613.1942585345314907057315165527,2613.1942585345314907057315165527,2.6172793637633913e-05,2813.656660844336,2804.2665167950267,15846.09941314529,19705.129445646853,44585483.16219776,55258434.713539205
