day,date,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0PriceUSD,token1PriceUSD,token0Balance,token1Balance,token0BalanceUSD,token1BalanceUSD,token0BalancePosition,token1BalancePosition,positionValueETH,dailyLPFeeROIPosition
19473,2023-04-26,17133722,1682552435,16347065.28955295,6577161.118327845,3288.5805591639222879530572373927,3288.5805591639222879530572373927,0.0002011725346974409,1920.4523793207663,1866.3580608562836,5010.209853921198,3603.3792206025682,9621869.434859313,6725195.854693635,0.0,1.0826758759370745,1.0826758759370745,0.0
19474,2023-04-27,17140635,1682636423,16783216.800405867,3345343.1107700863,1672.671555385043249366158851843,1672.671555385043249366158851843,9.966334673961866e-05,1956.9814998100674,1902.4059677734658,5339.335110226839,3329.592566311726,10448980.03200027,6334236.768405596,0.0,1.0826758759370745,1.0826758759370745,0.0
19475,2023-04-28,17147965,1682725379,17142212.082272347,1248858.7965106377,624.4293982553188448559012002774,624.4293982553188448559012002774,3.642641890430662e-05,1949.9619902831485,1895.3514451954684,5483.860614548866,3402.478384807517,10693319.758381074,6448892.323891271,0.0,1.0826758759370745,1.0826758759370745,0.0
19476,2023-04-29,17155008,1682810939,16454756.812999422,610690.2909127921,305.3451454563960276546447042916,305.3451454563960276546447042916,1.85566489329803e-05,1956.6391982959753,1901.7400999456625,5456.372037742669,3038.5883978736833,10676151.409533395,5778605.403466028,0.0,1.0826758759370745,1.0826758759370745,0.0
19477,2023-04-30,17162131,1682897291,16247489.73810723,1338368.6397394985,669.1843198697492032589278676838,669.1843198697492032589278676838,4.1186935991732256e-05,1946.012349534313,1892.0409283186375,5802.543428069482,2619.218482117461,11291821.169732377,4955668.568374853,0.7897109453195473,0.2704200309509741,1.0826673491382577,2.5811311792356406e-06
19478,2023-05-01,17169337,1682984903,15707785.217141397,4409945.292172128,2204.9726460860640064333975866184,2204.9726460860640064333975866184,0.00014037450955720025,1881.6116729010223,1828.0410842152498,4961.551925275829,3485.737412500929,9335714.01830354,6372071.198837858,0.7109707232083965,0.3515511438201768,1.083356810558496,0.0001049279615497
19479,2023-05-02,17176422,1683070979,16112926.53544605,1529048.3922859468,764.5241961429733449120444318523,764.5241961429733449120444318523,4.744787946876897e-05,1929.8866028704335,1875.3476402879737,5205.961522351051,3234.6062181144766,10046915.39704426,6066011.1384017905,0.7338715662023891,0.3280230409840079,1.0832371657152695,3.812186806140261e-05
19480,2023-05-03,17183605,1683158387,16777681.904181186,8281758.46933275,4140.8792346663747721078269004479,4140.8792346663747721078269004479,0.0002468087819470711,1961.1156257015293,1906.534585058429,6512.261599757736,2101.3958800634455,12771297.981940933,4006383.922240252,0.7805980837208976,0.2801217636503947,1.0830671908021696,0.0001602365044501
19481,2023-05-04,17190710,1683244559,16505137.067906376,2683771.508982772,1341.885754491386038763401140491,1341.885754491386038763401140491,8.130109728689456e-05,1929.2110108254021,1875.108934649683,6181.93657372505,2441.9258407017282,11926260.106254626,4578876.961651749,0.7576147225993692,0.3038259384903604,1.0832997881369286,5.563376051487268e-05
19482,2023-05-05,17197733,1683329687,16439350.168814054,13401395.831875214,6700.6979159376076004019725419165,6700.6979159376076004019725419165,0.0004076011428145764,2053.0247900199292,1991.6073434329903,3433.362764503792,4715.071638553822,7048778.86865764,9390571.300156413,0.5542688142119713,0.5134292222825069,1.0847891695714456,0.0001741753551505
19483,2023-05-06,17204964,1683417563,18870756.641973004,4511897.996669835,2255.9489983349175123153187252879,2255.9489983349175123153187252879,0.00011954735261209168,1954.752830814023,1895.9779495207777,4756.571019807039,5049.022842516106,9297920.665935751,9572835.976037253,0.5374598303221845,0.5308184959523276,1.0849394798203296,5.585717609224439e-05
19484,2023-05-07,17212054,1683503699,21868979.69112874,13499755.634295259,6749.877817147629429027776348468,6749.877817147629429027776348468,0.0003086507881245942,1957.8428293428688,1897.8864548378333,5080.9370448405725,6281.357612915629,9947676.159583662,11921303.531545077,0.4769940416930588,0.5933415123622066,1.0854042599613034,0.0001519952235309
19485,2023-05-08,17219165,1683590051,22717789.364338145,18574344.603823166,9287.1723019115823258704183647236,9287.1723019115823258704183647236,0.00040880616300150964,1905.184884633157,1845.7525690581417,4453.1511668038365,7711.604096328148,8484076.291981176,14233713.072356967,0.4146957376785791,0.6580280010431443,1.0860774627719183,0.0003695027249757
19486,2023-05-09,17226269,1683676355,22184247.998726707,5362576.645222158,2681.2883226110791109919239808562,2681.2883226110791109919239808562,0.00012086451263820053,1908.2437993417973,1847.1051026022585,3989.157980274232,7889.081134443367,7612285.98045315,14571962.018273558,0.322837072340934,0.752987489039971,1.0865104232318232,9.352693194797368e-05
19487,2023-05-10,17233323,1683762095,18959458.722478915,8993782.661163388,4496.8913305816941485637193616884,4496.8913305816941485637193616884,0.00023718458403298412,1905.9184794266444,1842.4782984663586,1863.1298656148806,8362.912656750173,3550973.640447081,15408485.082031835,0.1866772755547002,0.8939026493168453,1.087007913902664,0.0001451286135543
19488,2023-05-11,17240380,1683848675,18670741.49995207,7832509.08425345,3916.254542126725071188099446429,3916.254542126725071188099446429,0.00020975356239262262,1855.504437658003,1793.1063784338144,1926.028622444923,8419.459673739839,3573754.656002885,15096986.843949186,0.1494937506260488,0.9325522369912366,1.0872481485768524,0.0001645883291736
19489,2023-05-12,17247352,1683935759,18184616.15754631,10464382.149252523,5232.1910746262617938564881446511,5232.1910746262617938564881446511,0.0002877262312988108,1866.7477221681086,1806.0152729874424,3155.091445375955,6807.725589341763,5889759.768887648,12294856.388658661,0.2690381443927868,0.8092212582488271,1.0873066222748242,0.0002790752461727
19490,2023-05-13,17254413,1684021919,17963969.86846219,3662696.6867961464,1831.3483433980732370765490877783,1831.3483433980732370765490877783,0.00010194563656072567,1862.4239224775426,1800.0537544954088,2410.1866944175295,7485.987836468405,4488789.357320277,13475180.511141913,0.1647215350357368,0.917196999457651,1.0876261042493307,9.001777252160004e-05
19491,2023-05-14,17261500,1684108751,17944371.571078308,3183320.3564479467,1591.6601782239732676785805216853,1591.6601782239732676785805216853,8.869968903170275e-05,1860.0152154605844,1798.0499004495036,3166.234729317534,6704.55630614826,5889244.7722503375,12055126.79882797,0.1860731763602028,0.8951321481810424,1.0876138027078006,2.2422689302414867e-05
19492,2023-05-15,17268443,1684193471,22702456.144554403,15178454.165667824,7589.2270828339119276236629489309,7589.2270828339119276236629489309,0.0003342910139110356,1889.6133402009104,1825.2921916120217,7304.844415855214,4875.452121669863,13803331.456292138,8899124.688262265,0.1046561989359019,0.9794884482239044,1.0878326086906849,9.449712497011652e-05
19493,2023-05-16,17275631,1684281119,22919378.80259915,10059324.424118476,5029.6622120592379865347687644437,5029.6622120592379865347687644437,0.00021945019781639344,1886.5680475543938,1823.4330060227921,10679.191548630059,1520.4053256048758,20147021.54935839,2772357.2532407604,0.167348498347358,0.914661831501356,1.0878046612833612,5.113171120507687e-05
19494,2023-05-17,17282730,1684367819,23316361.062877957,13631637.097326644,6815.8185486633222050516407527613,6815.8185486633222050516407527613,0.0002923191372051107,1888.4827901842648,1825.2729056742107,10876.012045884392,1521.5256194046754,20539161.57448943,2777199.488388525,0.1667666709457367,0.9154882110138524,1.0880300749113838,0.000206291504293
19495,2023-05-18,17289854,1684454375,23375106.50975771,12348545.087338813,6174.2725436694062870604786933112,6174.2725436694062870604786933112,0.000264138798302032,1869.4503983378513,1805.6864133694341,7252.1942960610395,5436.98447386739,13557617.515594803,9817488.994162906,0.0971361708790365,0.9876151606198276,1.0881814893998247,5.6393871082915936e-05
19496,2023-05-19,17296860,1684539815,22769890.62442594,5165210.7055171495,2582.6053527585749786907983400811,2582.6053527585749786907983400811,0.00011342194810493017,1878.383734878201,1813.856175801192,5890.687918293866,6453.057528824785,11064972.372966727,11704918.251459213,0.0704314067749903,1.0152941955644257,1.088231185158052,2.5502576329827772e-05
19497,2023-05-20,17304045,1684627139,23028503.779718082,6925514.02078802,3462.7570103940104003459385295308,3462.7570103940104003459385295308,0.0001503683019755616,1884.2322437448997,1819.4681550887844,6579.529368169567,5842.994484851379,12397361.384171603,10631142.39554648,0.068336978720205,1.0174957316813904,1.0882651896604232,2.993633938186413e-05
19498,2023-05-21,17311098,1684713023,22776382.457297835,11592985.759216772,5796.4928796083861450899150086291,5796.4928796083861450899150086291,0.00025449576509684567,1867.3250920905184,1804.6534799317678,10393.804889453382,1866.1586960482605,19408612.672369413,3367769.7849284234,0.1568515821137639,0.9259397793647528,1.0882384698152152,6.520252119579517e-05
19499,2023-05-22,17318178,1684799075,22268574.23181457,13923235.706642,6961.6178533209998889389641861256,6961.6178533209998889389641861256,0.00031262072644844523,1886.295394129773,1820.8927277796124,4095.6226864729647,7986.752761630773,7725554.209587361,14543020.02222721,0.0354646868655529,1.0516881137465803,1.0884266182591895,6.774460874159338e-05
19500,2023-05-23,17325343,1684886327,26346250.41177527,20336285.65424076,10168.1428271203803960108385569861,10168.1428271203803960108385569861,0.00038594269272472265,1918.8479137564852,1851.6816856827822,5679.918854676402,8342.33555724635,10898900.444601936,15447349.967173332,0.0,1.0884666645093115,1.0884666645093115,3.11224596689641e-05
