day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,outputTokenPriceUSD
18869,13129530,1630361892,520498054.357919177458420919969028,2085499.48232117888532260288824,417.099896464235777064520577648,65852116399802235931566,3110.114356,97534089813909551628425,3159.64,8.013476572525631e-07,4.551424562629513e-19,3204.397971
18870,13136180,1630451063,520903374.827373355080948240249004,12570694.6167508277433937265057625,2514.1389233501655486787453011525,65579053536100262818343,3288.384819,96226709696646414412611,3399.26135,4.826497667025766e-06,4.929757214046371e-19,3238.223132
18871,13142740,1630538854,515121668.587734022231070041146524,19406921.82586197759950442447738,3881.384365172395519900884895476,70325512448539020671812,3288.384819,89678655722948340556896,3399.26135,7.534888555190586e-06,5.067166328712013e-19,3238.223132
18872,13148648,1630617113,512625990.690586538842058436559456,2193395.6538248786083343116797185,438.6791307649757216668623359437,70739805396966259777872,3610.052931,88488661867628755637490,3739.672099,8.557489060864959e-07,4.299306407376865e-19,3238.223132
18873,13154823,1630699584,496297491.98706849824570390329064,7471480.8881111361664262735334005,1494.2961776222272332852547066801,71338706898993708274364,3610.052931,82816387618120118250764,3739.672099,3.0108880293538996e-06,4.431425884355995e-19,3238.223132
18874,13161682,1630791090,495497929.43710423006824033116004,1848847.1284950152266918679318795,369.7694256990030453383735863759,71159448262237884904276,3781.547028,82747472077827794461676,3915.917977,7.462582661426429e-07,4.504022536470653e-19,3238.223132
18875,13168455,1630881529,591619990.88634879561036244353,21292.893098207282376129420707,4.2585786196414564752258841414,71164979830788218599091,3872.210084,82636060122183981523676,3926.976238,7.19816552050814e-09,4.1405262890471366e-19,3869.07
18876,13173539,1630949706,590572362.5055595503252019167,601240.315847777953091650593959,120.2480631695555906183301187918,71317359263035871849337,3872.210084,82211231262393005252176,3926.976238,2.0361275061940203e-07,4.361622712052709e-19,3869.07
18877,13181710,1631058945,597963402.92631435978451971066,12431568.8452518089964221634900715,2486.3137690503617992844326980143,74495412340845701529004,3882.193463,78921411745176772637602,3941.229269,4.15796979695218e-06,3.2963662134195207e-19,3920.33
18878,13187617,1631137435,528708451.386969299392999366447131,10276748.241046034882906092698235,2055.349648209206976581218539647,77056856993443328173530,3277.174226,76039866931249452371735,3420.029048,3.887491570859848e-06,3.6088150971756503e-19,3473.539827
18879,13194654,1631231653,525519061.464649415494742777242137,1933766.900038632564149791625205,386.753380007726512829958325041,76504004605484664163192,3277.174226,75669493144714014365846,3420.029048,7.359454839370133e-07,2.9269651050954367e-19,3473.539827
18880,13201039,1631316890,563632707.296455622773406774925056,4613954.371219187980185842216022,922.7908742438375960371684432044,75704227204939246199890,3313.322505,90999623559398052351469,3477.456963,1.6372202363310943e-06,2.503906362891279e-19,3400.832704
18881,13207497,1631404026,662687017.099396119032707802767104,3329554.658461926689617508051904,665.9109316923853379235016103808,76817046209048072687852,3265.414764,119202793756262931594592,3330.231402,1.0048649128620332e-06,2.372240046279773e-19,3400.832704
18882,13214013,1631490264,632307150.622780911787186500874688,5085309.675419837611832866750899,1017.0619350839675223665733501798,78256122048081469872633,3265.414764,108773447950705466420061,3330.231402,1.608493489409741e-06,2.6590131525388694e-19,3400.832704
18883,13220391,1631576218,609619283.750968535070285591880983,1270209.393010293724415502989721,254.0418786020587448831005979442,78661756217133884843243,3246.440808,110669727184552293269201,3290.636228,4.167221828006275e-07,2.6855189638594693e-19,3238.963877
18884,13226516,1631658265,606126258.42081379688527765143393,1707096.627245972835958943755737,341.4193254491945671917887511474,78682522741108868955929,3295.700421,109563716834882097804139,3379.199658,5.632808688056511e-07,3.3302605059624067e-19,3238.963877
18885,13233335,1631749468,617375211.750211562125174577005223,1476677.9800604391833443797974805,295.3355960120878366688759594961,79124269586295059495581,3295.700421,112617498148231338229973,3379.199658,4.783729414318952e-07,3.6640766597011937e-19,3238.963877
18886,13239735,1631834774,593650108.464829519717704308171391,186982.069202167000851734490506,37.3964138404334001703468981012,79111502777511261860332,3468.222402,105258525233407865670737,3636.571546,6.299403185007408e-08,3.832863062259402e-19,3238.963877
18887,13245859,1631916997,620821616.68507878540121486406658,4678.230527566938110422244979,0.9356461055133876220844489958,79112429040536050903305,3309.044708,113701865684693603656489,3391.324878,1.5071094181760885e-09,3.583729247818973e-19,3238.963877
18888,13252691,1632007974,620249283.017369109977637722173325,1445802.09557080193071309949624,289.160419114160386142619899248,79545688832767894288556,3309.044708,113090225738592969004121,3391.324878,4.6620032788665535e-07,3.3721144090362957e-19,3238.963877
18889,13258491,1632085077,612964967.285381020812302817043922,33226.854357313550572962549549,6.6453708714627101145925099098,79553259502078685943783,3369.319184,110819202303180536599087,3442.62,1.0841355095533203e-08,3.5721397477061983e-19,3238.963877
18890,13265131,1632174090,589342021.7786101978148175385216,582135.679115919103387812111008,116.4271358231838206775624222016,79640192162786693021586,3369.319184,108181526143293314985707,3442.62,1.975544446530581e-07,3.026435235292346e-19,3156.410752
18891,13272204,1632268185,528535182.162638455302098659575396,32196013.509578787195179465388869,6439.2027019157574390358930777738,88312000039745510516406,2959.489754,100086355583201201271919,3039.661704,1.2183110830140189e-05,3.501138977569337e-19,2822.001226
18892,13278166,1632348375,527842649.147230229807214161020464,1681819.147887058351451222763265,336.363829577411670290244552653,87992598766760168393360,2853.947673,100159171197730373623921,2925.616304,6.372426141025794e-07,3.449776573713484e-19,2822.001226
18893,13284948,1632439638,573295864.062510485973260022162852,1344712.6202182650688578674143115,268.9425240436530137715734828623,87537226134429878612144,2853.947673,100289890724857708572334,2925.616304,4.691164560962685e-07,2.4636188987778154e-19,3070.311684
18894,13291360,1632525430,588184615.381709649899966764860576,30161264.314714462020592182192716,6032.2528629428924041184364385432,79269349298251069905041,3056.340308,113449000549466081225803,3153.39,1.0255713436211158e-05,2.206950136783732e-19,3070.311684
18895,13297508,1632606551,557791191.119559577568150029499127,2700524.0076807209196614037533615,540.1048015361441839322807506723,80132136309002718632745,2851.478547,113190172543939432086575,2925.104291,9.682920959222816e-07,2.2026679467881485e-19,2902.553451
18896,13304427,1632699522,578023230.166499305912598233843224,14291748.836695326082968084950074,2858.3497673390652165936169900148,84978316786133476242544,2851.478547,107263564293575925196803,2925.104291,4.945043067759957e-06,2.21588236778777e-19,3024.659716
18897,13310383,1632779547,572857143.231145676596629070753944,54505.089441319172987939372907,10.9010178882638345975878745814,84995836473277609487556,3070.844094,105527349122798758982644,3142.201645,1.9029208271328682e-08,2.388013513701953e-19,3024.659716
18898,13317298,1632872976,546547507.482569364278667090487425,82317.02274097009005356082712,16.463404548194018010712165424,85024215573485791522349,2768.354164,103476564200826537175401,2854.88,3.012254986583956e-08,2.2468512738001765e-19,2916.699225
18899,13323622,1632958075,531565096.009902313712938404801696,5797961.264325571000268852403566,1159.5922528651142000537704807132,87042047693579832660572,2768.354164,101082707973267147046763,2854.88,2.181468011292285e-06,2.286868103277802e-19,2842.398702
18900,13329465,1633037131,524225770.499546839208429314916832,2252016.41823528444835194231433,450.403283647056889670388462866,87764555908765462327059,2973.200084,97762173940340105395146,3023.807706,8.591780660036175e-07,2.1842850882770663e-19,2842.398702
18901,13336132,1633127201,592164400.5419145435597088515,26345.796272831862965223434311,5.2691592545663725930446868622,87773336716873312414006,3166.611189,97722673838719813350540,3294.075296,8.89813580442246e-09,2.0590113108033588e-19,3211.3
18902,13342330,1633210347,591364959.8662083206278872565,6747.331447714644774111621557,1.3494662895429289548223243114,87773956374216998108332,3166.611189,97471606039125540703028,3294.075296,2.281951723768407e-09,2.2145502436910985e-19,3211.3
