blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
12045825,1615846401,342889313.5885553648998528845795498,711645.678572580997554301348038,2021-03-15 22:13:20
12052565,1615935529,343509574.8191734293968472791814346,690557.179142321106557356374997,2021-03-16 22:58:08
12059264,1616025170,348842806.1646868638516980458726141,2004708.047972059093076285890235,2021-03-17 23:53:36
12065744,1616111278,348414621.1317194309896979635882689,486381.310052324330450230533219,2021-03-18 23:47:12
12072300,1616198303,348566195.244711307832464269682769,765274.95028102195689811659735,2021-03-19 23:57:52
12078655,1616282387,351527100.2753113794618919629896564,616085.50523859479626499731526,2021-03-20 23:19:28
12084895,1616366079,349363199.6506207851489986980630081,2691323.2601162589595241204162,2021-03-21 22:34:40
12091591,1616455389,291724371.3677983281594790295794156,790142.970348300443266513517576,2021-03-22 23:23:44
12097989,1616540718,293619178.4245483687038243364281016,336246.166863916679695506003257,2021-03-23 23:04:32
12104388,1616625914,286819625.5628033363962452347753373,580557.316669657123300436979586,2021-03-24 22:45:20
12111154,1616715633,288347544.3999229284914907648200474,1108509.755921218684463279786091,2021-03-25 23:40:48
12117775,1616803091,295171265.9243516706681695478866866,1102612.011939519500195727658456,2021-03-26 23:57:52
12124030,1616886588,294753054.062687418717461504871701,1391665.584771395839453255453419,2021-03-27 23:08:48
12130754,1616975880,324520770.7994239231824822989721999,2545192.292868693229019728079709,2021-03-28 23:57:52
12137146,1617060770,336209500.0409861249848716362651945,1008033.695950788934777032682386,2021-03-29 23:32:16
12143754,1617148270,337406123.0909613715491904065518236,1025719.700646281489780048771324,2021-03-30 23:51:28
12150104,1617233037,344968560.9733961729978668744799231,912939.470768791758591142317553,2021-03-31 23:23:44
12156579,1617319394,356003464.628782494764465774282732,1166222.343719859060167955457768,2021-04-01 23:23:44
12163166,1617407250,353296094.7005171056179897081380141,1316869.788863938903137867821113,2021-04-02 23:47:12
12169698,1617493775,452050718.3365738493063090532391177,1641211.437544372996093128429274,2021-04-03 23:49:20
12176240,1617580003,461817878.612946691019428873857179,942857.458888735029357990275951,2021-04-04 23:47:12
12182727,1617666216,485912067.4963262282771787203002565,10162097.727104236844251071473023,2021-04-05 23:42:56
12189160,1617751794,487283414.0016518684776384892818282,1250186.609959446860021537479988,2021-04-06 23:30:08
12195810,1617839667,515347910.7297058990709146214278225,2159238.69186988345151341436033,2021-04-07 23:53:36
12202279,1617926313,518070430.688713516749657307145567,661266.356223654140711472054297,2021-04-08 23:57:52
12208710,1618012332,541347717.6425776850635935841681388,6549283.582032120329893942680297,2021-04-09 23:51:28
12215277,1618098673,622357700.8386196844293728118016307,50556278.777794255202674969653074,2021-04-10 23:51:28
12221858,1618185455,623971481.4208393774090645346919544,1537950.672037941773535577008645,2021-04-11 23:57:52
12228353,1618271597,709317530.1103036827462364461663225,69048102.110493573492426524970624,2021-04-12 23:53:36
12234835,1618357922,727184084.7006374644655479945729114,24784012.171544429019842840860476,2021-04-13 23:51:28
12241268,1618444160,822229802.2087065509165707585661559,971109.373075619554295076241035,2021-04-14 23:49:20
12247761,1618530551,797049494.5501320289439010414260791,866711.470663858907672688753042,2021-04-15 23:49:20
