day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueETH,dailyLPFeeROIPosition
18871,13142563,1630536691,83581249.11302670139538132892425579,1736252.51445614708040187898321637,5208.7575433684412412056369496491,6.231969010566774e-05,1.257012497431679e+16,3.563206010275867e+16,3767.499079755699,3732.6007905576585,0.04787235947526924,5.739527812168529e-06
18872,13147822,1630606461,84733683.35595438483581999351556525,1068852.58472617607640827663760938,3206.5577541785282292248299128282,3.7842775472278556e-05,1.2570197120898682e+16,3.563226461395863e+16,3794.0465085519545,3758.8820769313334,0.04787263424000788,3.504173454884846e-06
18873,13155641,1630710490,86906652.78377447482171191349116544,47678.49753560325276354825717832,143.0354926068097582906447715349,1.6458520495857201e-06,1.2570241169049756e+16,3.563238947559443e+16,3892.644558906982,3856.4393102807458,0.047872801994021996,1.5233522279566377e-07
18874,13159888,1630767772,86736638.5680389867677523727578359,2419221.46792369790538513912621741,7257.6644037710937161554173786523,8.367472527861395e-05,1.2570243083940246e+16,3.5632394903662424e+16,3900.3606838544697,3864.0316928403304,0.04787280928673596,7.56926060880843e-06
18875,13168431,1630881223,87952823.49601196585408303736764389,35710.81108742520606907206610691,107.1324332622756182072161983206,1.2180670159740044e-06,1.2570338231386064e+16,3.5632664614545564e+16,3950.5462651563785,3913.724638623409,0.047873171648505526,1.1031079027581544e-07
18876,13173355,1630947081,87501063.18441455019240906935314954,180010.14627232600643699471493104,540.0304388169780193109841447932,6.171701453259219e-06,1.2570339618030008e+16,3.5632668545212956e+16,3930.2217519954193,3893.60856658393,0.047873176929432916,5.589253412446635e-07
18877,13179504,1631029212,76588794.09758270465100327018929819,100458.61008218174607945990591402,301.3758302465452382383797177421,3.934985970174158e-06,1.257034664391137e+16,3.5632688461214384e+16,3439.0225180593316,3407.0352855873307,0.047873203686964676,3.5645591029925684e-07
18878,13188138,1631144449,78624425.92994201240162945306884544,464329.56174077477558651228777357,1392.9886852223243267595368633206,1.7716996578945348e-05,1.2570351124685726e+16,3.5632701162696788e+16,3521.488131619164,3488.815497467065,0.047873220751651076,1.5988434194460557e-06
18879,13193880,1631221378,76722212.31891733554576295797827767,181876.90876386437821010164570133,545.630726291593134630304937104,7.111769978992868e-06,1.2570371222708902e+16,3.563275813380656e+16,3433.4294872596224,3401.6065447826027,0.04787329729343505,6.422316489191326e-07
18880,13199565,1631297185,74775117.60777436810224045613122615,948774.16127817871143378443969605,2846.322483834536134301353319088,3.806510206730326e-05,1.2620147995743634e+16,3.558254984535559e+16,3326.2960850000118,3295.829272609154,0.04787685584568323,3.4490028644754067e-06
18881,13207385,1631402577,72861780.28806637803589886651552647,108261.38880735445940347533878924,324.7841664220633782104260163675,4.457538165249278e-06,1.2620191522670222e+16,3.5582672569671932e+16,3251.376794670343,3221.554715068982,0.04787702097309617,4.0336620357010355e-07
18882,13213461,1631483249,74224063.49431862464108083562215943,106121.46385516719932503009616054,318.3643915655015979750902884817,4.289234199497449e-06,1.2620196613228964e+16,3.558268692251948e+16,3312.07020712123,3281.6919392309956,0.047877040285068354,3.8805319325967206e-07
18883,13219873,1631569403,73549127.27445339656516873843505265,2830.56608073919590452032683977,8.4916982422175877135609805194,1.1545613873201047e-07,1.262020151053656e+16,3.558270073049477e+16,3281.8680257596066,3251.766571195192,0.04787705886390673,1.0445363098914304e-08
18884,13226929,1631663566,76639761.99957558058797365695144959,29064.72835481146682913134384314,87.1941850644344004873940315294,1.1377147160884617e-06,1.2620201642359144e+16,3.558270110216899e+16,3419.1678025341203,3387.8099137131494,0.04787705936399999,1.0292634011797327e-07
