,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
42,15712926,1665347303,6425151.903029438500052873979317721,229078.46510411994878927715522489,2022-10-09 20:28:48
43,15721028,1665445031,5805870.437302726954017838890839158,580040.09994498537145111101375487,2022-10-10 23:36:32
44,15727973,1665528779,5497465.958606555981544285170928121,3604066.31393966997278696549496877,2022-10-11 22:53:52
45,15735179,1665615695,5660712.693574434850867481401614421,388392.4587090016246827906703093,2022-10-12 23:02:24
46,15742567,1665704879,7912384.828333444627055189544997807,2514839.9659484022047713881054815,2022-10-13 23:47:12
47,15749707,1665791003,7962947.209657357725271044930528134,571449.0358917205015527107934997,2022-10-14 23:42:56
48,15756062,1665867623,7874695.444706913718434715836516414,617013.4462350544407396292974728,2022-10-15 21:00:48
49,15763508,1665957479,8025341.96185882946605465641194401,1043472.5400579305782689371234418,2022-10-16 21:58:24
50,15771110,1666049315,8330756.315195356252584302410068552,1609263.8402740669290077252968307,2022-10-17 23:28:00
51,15778425,1666137467,8249469.859054915222940770062743186,1955980.8957635429662707071386723,2022-10-18 23:57:52
52,15785570,1666223771,8080635.007893630694215856037745303,2083770.0979078898974791070520301,2022-10-19 23:55:44
53,15792409,1666306259,8703230.742382871184512646996043334,4332749.120565872543126343394614,2022-10-20 22:51:44
54,15799450,1666391147,8800590.036403320517463990727757527,55113.1966418820014504177469238,2022-10-21 22:26:08
55,15806652,1666477979,8060965.336920375487936440279249856,131524.4328948696217647561590896,2022-10-22 22:32:32
56,15813758,1666563659,7999750.660574475126015517821763479,165451.8257315602813532155837385,2022-10-23 22:21:52
57,15821300,1666655183,7983136.920918749287964883380923998,144517.9391481943387122068465386,2022-10-24 23:47:12
58,15828372,1666740611,7710966.119512245594674129692685389,474067.7892876732444135774957575,2022-10-25 23:30:08
59,15835333,1666824515,8313816.051366213976318206245107126,2204273.69417790632223582141533,2022-10-26 22:49:36
60,15842685,1666913243,7988120.732596593077517012849173938,1762573.5961610153953878518048601,2022-10-27 23:28:00
61,15849961,1667001131,8206953.336430646580370301669343117,975596.7949861639528175585758444,2022-10-28 23:51:28
62,15857042,1667086703,8480858.454127197109423557801578379,2228546.4640427202089034716077533,2022-10-29 23:38:40
63,15863991,1667170451,8275455.624435933308470142414750571,2040373.8122008422111719007481909,2022-10-30 22:53:52
