day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,outputTokenPriceUSD
19207,17497753,1659555971,46386.55798449845588312969493712452,8398.002380135351909590987634,1.6796004760270703819181975268,9848300711813538730,1674.279332,17926125366894573683,1661.212844,3.620877575327668e-05,1.612803526504239e-18,,1672.78262232400978255328457
19208,17641344,1659613857,46058.62881573290925249600786984449,2063.0762566484544204050849565,0.4126152513296908840810169913,11111277704777170701,1633.290111,16856315408443352882,1619.324466,8.958478833150759e-06,1.67556973855546e-18,,1649.112768048788801117986005
19209,17955209,1659734831,54364.64825770327113773436563597372,1898.0087901384962104318293435,0.3796017580276992420863658687,13002111566321566611,1711.727034,18977192761997343895,1699.94424,6.982511065431405e-06,1.4622493111282785e-18,,1702.284250212196622186938388
19210,18105138,1659819198,59177.21025547400092016378250118239,2469.985884673381138456626421,0.4939971769346762276913252842,15602589198925317946,1717.870206,18822224257767426037,1710.300807,8.347760477420961e-06,1.4521404683390532e-18,,1721.127331970033020550593164
19211,18179362,1659872034,57985.93438988268843710213313638228,13090.0495674008277204922258895,2.6180099134801655440984451779,15728277401989264188,1693.253037,18498131441806831372,1683.529414,4.5149051076375386e-05,1.3315002909515914e-18,,1696.31431769160280021316274
19212,18353863,1659977566,57985.93438988268843710213313638228,62001.5348207522069251720419685,12.4003069641504413850344083937,15723898257574882048,1777.757615,18509990551520872485,1765.091262,0.00021385025687046668,1.3315002909515914e-18,,1696.31431769160280021316274
19213,18463395,1660053388,57985.93438988268843710213313638228,5078.5878633515044346314635935,1.0157175726703008869262927187,12878324971903764400,1707.049797,21366102807214919649,1689.145,1.7516619907180834e-05,1.3315002909515914e-18,,1696.31431769160280021316274
19214,18655276,1660172526,66935.1002620347387138521459628625,6970.702833121914929188108295,1.394140566624382985837621659,12932811403067731071,1865.951009,23312033151046896801,1847.64,2.0828243495067006e-05,1.1356447115932912e-18,,1850.30840094695892524743242
19215,18761397,1660231729,66935.1002620347387138521459628625,8583.461570007297412414097817,1.7166923140014594824828195634,15610527494095240435,1912.807738,20622709749808629201,1897.93,2.564711649464965e-05,1.1356447115932912e-18,,1850.30840094695892524743242
19216,18873940,1660317066,66935.1002620347387138521459628625,2706.636296187905783186816044,0.5413272592375811566373632088,17044887060094336942,1889.648008,19185767558814356601,1881.29,8.087345161483524e-06,1.1356447115932912e-18,,1850.30840094695892524743242
19217,18990252,1660412897,82456.84979910408283073740197356912,15246.6829022308660698365318525,3.0493365804461732139673063705,17980068880299440128,2000.435835,23354801172018994965,1996.43,3.6980997793094264e-05,1.1084092634232313e-18,,1998.174442917861141318667347
19218,19115251,1660519744,80317.02036993906851376725467167202,0,0,17985225403326469900,1942.762081,23359957694867490527,1934.4145,0.0,1.1382237868966076e-18,,1945.834455370503122441904758
19219,19185739,1660568737,153833.863158770022055865655987279,38870.4272139186127224943484015,7.7740854427837225444988696803,38438800189864084579,1894.31697,42774354465749008691,1882.5915,5.053559263970499e-05,1.0966961696766806e-18,,1897.4084835193937633572479
19220,19392966,1660665044,153572.219102470041128729772708869,0,0,38433917833734778966,1891.147316,42773080227588666138,1887.19,0.0,5.405381428447209e-19,,1894.324991677985869736825612
19221,19562468,1660778522,145328.5624073745293956590950008711,1204.655887904275467745617785,0.240931177580855093549123557,37974504566670412687,1842.047272,40921172864138890065,1831.4836,1.6578377546011513e-06,5.05385960651008e-19,,1845.145420186957541042919048
19222,19645069,1660843759,72449.36281519821493132087074309791,62486.397312473445097146780578,12.4972794624946890194293561156,15723510473838887957,1876.362503,23321371040409014599,1873.7318,0.0001724967477543232,8.247521339588954e-19,,1859.331391438538907130839591
19223,19821715,1660945624,94782.70425517416707335328229531219,61103.311694442707210816656512,12.2206623388885414421633313024,22361162371222671810,1698.549453,33400291821256089990,1686.954366,0.0001289334634933822,5.466196819094927e-19,,1703.57790689163129123676816
19224,19931246,1661007159,115300.3776580542664531094787535344,11491.2852703436412029489671675,2.2982570540687282405897934335,29360981618292738713,1641.212192,40901840184108293650,1633.6,1.9932779933164288e-05,4.496809170768315e-19,,1644.605720333148170558407104
19225,20068756,1661105981,106757.5865030016183795056305761486,2709.9156357484504339900811105,0.5419831271496900867980162221,27752583303437700402,1623.725996,38004373012286675343,1617.4869,5.076764517662186e-06,4.669738710084144e-19,,1627.093174815411655718007388
19226,20140721,1661157334,106757.5865030016183795056305761486,4037.727230544670513358917938,0.8075454461089341026717835876,25132768898510947877,1541.953756,40635745002286675343,1534.04,7.564290956373662e-06,4.669738710084144e-19,,1627.093174815411655718007388
19228,20462932,1661377551,105882.4154974575665311298677942732,18127.1073030426873537006682105,3.6254214606085374707401336421,21343531221930974424,1684.516898,41504736869698061594,1679.04,3.424007134306065e-05,5.341748922898759e-19,,1689.269497709565570653076472
19229,20570550,1661468615,4590775.959408864896720717635104906,299166.322613580017466497423249,59.8332645227160034932994846498,1057831733456944052066,1704.185777,1629352606261176484776,1687.48,1.3033366265693453e-05,2.1245037368484452e-20,1.2252631438684284e-17,1712.59378290518940998479047
19230,20710069,1661557920,4822852.621990683849024126507105245,510099.618025095758253390821578,102.0199236050191516506781643156,1098837432309656625408,1510.558795,2101675590112576057668,1498.5,2.115344000765036e-05,9.785539577120735e-21,5.406480257205814e-18,1511.107954718908179300129472
19231,20819285,1661639700,5053416.168131894515856756483871689,72690.50014635635642953001995,14.53810002927127128590600399,1192439144819402493259,1476.387118,2232105435776955821559,1468.6347,2.8768855652443914e-06,9.38431593657444e-21,5.13961727401755e-18,1479.719881246880991329211168
19232,20924931,1661723135,5110230.097253749372437445125543054,26659.906835340237939154128461,5.3319813670680475878308256922,1175576382486621619145,1490.107486,2253935836009338361919,1482.9397,1.0433935978603915e-06,9.226801070341954e-21,5.363588090881931e-18,1494.25052286317381448087855
19233,21074077,1661813978,5980306.752256867316536817336210379,257603.2014983063288348683172745,51.5206402996612657669736634549,1386591298278767868177,1545.145746,2485123335238330165591,1539.2,8.615049768177567e-06,8.050819342481922e-21,5.001166909712693e-18,1548.810156657992616184744465
19234,21251977,1661903599,6230163.542716028706930842539942297,214021.8002395123185640616572005,42.8043600479024637128123314401,1324064628290051980713,1544.437093,2733953870848358476551,1528.028,6.87050343934342e-06,7.715443377872382e-21,4.517567640033972e-18,1539.83413790612663342793236
19235,21401816,1661987868,6542163.849530689465737735954778995,60898.434900499153275226016096,12.1796869800998306550452032192,1329428498160848410635,1575.921027,2827827597324565136598,1558.57,1.8617214824073164e-06,7.986917777664454e-21,4.485705285740958e-18,1578.449217634331850153269352
