day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,dailyLDORewardROI
19343,51203008,1671321590,9169630.126683859824501364757801187,99852.354607768337235189035398,19.9704709215536674470378070796,4021964304509104235762,1294.92345,2657191385450146410452,1188.552034,2.1778927443800686e-06,0.0,2.076306726064618e-18,
19344,51640140,1671407799,9181367.645477205601194051188575221,13245.5899580560398059449521175,2.6491179916112079611889904235,4034976370175790378990,1293.097275,2645530237246480930125,1185.06,2.885319588434277e-07,0.0,2.043768379088401e-18,
19345,52050463,1671494353,8591038.148003036020080903279900268,9749.4624948094493067918249325,1.9498924989618898613583649865,3849182341358252010517,1273.344085,2512111006565582024616,1166.66,2.2696820400164758e-07,0.0,2.163796338426718e-18,
19346,52585997,1671579878,8316792.732648816296245691552671803,25607.0678391752027875782331305,5.1214135678350405575156466261,3579196512888230708885,1327.714623,2325718873381583779423,1218.205,6.157918962835475e-07,0.0,2.2952998389412673e-18,
19347,53188607,1671666889,8305102.767257426622446520351499559,41265.189868415523083622569443,8.2530379736831046167245138886,3552986253443699534864,1322.318362,2370527690387893062908,1212.14,9.937309874382787e-07,0.0,2.2824439910461256e-18,
19348,53731310,1671752550,8433102.692226571351473320378874386,834.726871921682210047631477,0.1669453743843364420095262954,3585236719475246706219,1329.084303,2400003575602538047594,1216.61,1.9796435603496516e-08,0.0,2.1574818769470837e-18,
19349,54235825,1671839839,8680656.383647134155935207037796704,4821.0269158741761989563490785,0.9642053831748352397912698157,3721144305051702205745,1331.942212,2421288388383242549959,1219.714906,1.1107516995963953e-07,0.0,2.079426721888894e-18,
19350,54697457,1671926332,8709267.496745176400165897746891827,10797.3614335673985948802327305,2.1594722867134797189760465461,3741542512786194981163,1329.162227,2433506096576207093516,1221.645634,2.479510805610824e-07,0.0,2.0917920285968225e-18,
19351,55218034,1672011795,8760869.058601556281720688833989597,4667.0576528019999600744549755,0.9334115305603999920148909951,3750545781747766426690,1331.05691,2450479728716278131668,1216.92,1.0654325778833118e-07,0.0,2.11575900506854e-18,
19352,55724445,1672098225,8761629.135494175110406343508891512,86516.2891505620684963075788405,17.3032578301124136992615157681,3686486197331215107783,1331.341217,2520360697942536254789,1223.074709,1.9748904641507033e-06,0.0,2.290641798752456e-18,
19353,56245369,1672184502,8693954.780043137227903977693047797,48289.9270447031149462971414905,9.6579854089406229892594282981,3649728202322821871432,1322.033451,2558103941896291371072,1212.639868,1.1108851671405523e-06,0.0,2.2785674008806827e-18,
19354,56845027,1672271354,8443402.125172925637739943313907478,2592.1637776380957385498049035,0.5184327555276191477099609807,3600397305183540586303,1294.624656,2547805974005239923613,1187.520007,6.140093150153041e-08,0.0,2.251723963961975e-18,
19355,57409879,1672357114,8543407.33526922885576401975699651,60184.7511879568526823769484415,12.0369502375913705364753896883,3659038964840553272779,1309.151053,2494667419512055751835,1202.82716,1.4089168133070233e-06,0.0,2.168656087630772e-18,
19356,57995818,1672444621,8563977.848356721725151161387465682,28130.2567815581590451201895605,5.6260513563116318090240379121,3686964740115659224679,1305.916448,2495436761825805599029,1198.940112,6.56943707227264e-07,0.0,2.2124527633159416e-18,
19357,58461238,1672530872,8538891.751708933357330546152897416,366168.1240413699883363414189755,73.2336248082739976672682837951,3959302423642630912278,1301.752625,2201707546776345894964,1196.23,8.576478884817501e-06,0.0,2.151310002423914e-18,
19358,58838698,1672616449,8582866.795091834025471961094471499,67976.1759681266987544887563545,13.5952351936253397508977512709,3908150281722020281424,1306.531631,2261455008571592329569,1199.28,1.5839969928695457e-06,0.0,2.36304061364585e-18,
19359,59237477,1672703097,8758920.445365055589093835149567175,15087.6632286332415022030807805,3.0175326457266483004406161561,3911924507227367068509,1326.305088,2294697879949356150453,1215.53,3.4450965327849635e-07,0.0,2.6215780065066587e-18,
19360,59743499,1672789262,8758103.785154399313260667334324774,74261.29697462423987688545059,14.852259394924847975377090118,3885607688478876787395,1322.548087,2340786215930392825268,1214.18,1.6958304856012865e-06,0.0,1.1975531478801645e-18,
19361,60271845,1672876356,8869813.703236812296799094677102716,9882.6836533634076273028706175,1.9765367306726815254605741235,3836582016793102361117,1362.337975,2283200313261392889252,1256.42,2.2283858452984134e-07,0.0,1.334792171514365e-18,
19362,60783637,1672962069,8694322.493878095315633759544517775,148556.249934665957077172230094,29.7112499869331914154344460188,3729539966793687716069,1364.873428,2253509609915840934595,1249.94,3.4173163012820925e-06,0.0,1.3539965846738704e-18,
19363,61417505,1673049250,8882115.495061905261845850375946437,758.213792338749955778081019,0.1516427584677499911556162038,3760993413497097977391,1384.868761,2267793474771152833970,1269.35,1.7072819932600198e-08,0.0,1.491492985098574e-18,
19364,62106841,1673134847,8839219.180089012031687417489328331,120479.3434983594907076957161235,24.0958686996718981415391432247,3674001901042635567269,1378.444512,2362204650801401475440,1262.63,2.7260177860449035e-06,0.0,1.4641796893955435e-18,
19365,62705372,1673222081,9001778.865852204769768863237017861,95416.3096139008310604651928625,19.0832619227801662120930385725,3615906599369704037176,1398.761695,2450013588033978772499,1284.23,2.119943425312475e-06,0.0,1.8641612278782314e-18,
19366,63349495,1673306975,9745432.453556761311405722600069953,183671.238836826684443164697278,36.7342477673653368886329394556,3725677210539605568374,1439.118793,2660755104028751079758,1319.1,3.7693809835969414e-06,0.0,1.6509677054558198e-18,
19367,63951596,1673395126,9709828.739138690349123868409905153,141128.4925261144797724173479465,28.2256985052228959544834695893,3575665642879446646619,1454.186737,2727929252432996613831,1334.73,2.9069203240887086e-06,0.0,1.6857142049026105e-18,
19368,64544343,1673477898,10291879.5055101949624187280057603,220844.633767176704747886984652,44.1689267534353409495773969304,3761157504846765552854,1472.52813,2843758516701398793132,1352.042377,4.291628825404304e-06,0.0,1.5987498064609341e-18,
19369,65341934,1673563576,11046747.35654178599315842627192743,467177.7462685498454304995336655,93.4355492537099690860999067331,3817980767081730385133,1561.311528,2859825295530001498255,1421.18,8.45819554281544e-06,0.0,1.7046784465913177e-18,
19370,66096886,1673653887,11258760.85515375239847520824836153,137527.607295669428947769417333,27.5055214591338857895538834666,3763803910576996276562,1583.287664,2954446422345863080549,1450.264895,2.4430327469424043e-06,0.0,1.612366356051958e-18,
19371,66836207,1673740746,11486662.86945811565655664866314126,141841.110054842008485691151768,28.3682220109684016971382303536,3610335437466273158773,1692.074888,2798378502848833426088,1550.7,2.469666110458997e-06,0.0,1.6119170680469919e-18,
19372,67498102,1673825007,11527999.2752747356572892077812264,58270.1662974130963307913298685,11.6540332594826192661582659737,3614261152696598727613,1697.759797,2798374725948064894976,1553.7867,1.0109328584430259e-06,0.0,1.6906434959026417e-18,
19373,68194484,1673913089,11681417.00541166226872150497391826,146367.4076964207706641824773855,29.2734815392841541328364954771,3523682706486225382420,1726.058031,2874485749299071360089,1577.52,2.5059872039259104e-06,0.0,1.591689352734291e-18,
19374,68797819,1673999390,11717294.89941495667133698438911137,36329.5983981204705243914475935,7.2659196796240941048782895187,3516988671216064513770,1725.674205,2904040180000132532359,1568.94,6.20102143199185e-07,0.0,1.4903709287944097e-18,
19375,69037431,1674085872,11182593.9577538983755593090145574,229108.3430751469007021510542625,45.8216686150293801404302108525,3387400218615154179429,1670.494521,2915213852554621293783,1516.445,4.097588519098209e-06,0.0,1.5694355814035655e-18,
19376,69203131,1674171819,11417273.44557856456513776720948498,35932.8174606904327324307359715,7.1865634921380865464861471943,3369992369736902047226,1705.377972,2966502061148747421937,1549.333332,6.294465597582008e-07,0.0,1.527047113565995e-18,
19377,69396933,1674257573,12293781.97674882190162759127192565,96463.1037211518595407314496405,19.2926207442303719081462899281,3323905170122342860718,1824.199103,3063614725674152616312,1656.012,1.5692990798696791e-06,0.0,1.644093350723496e-18,
19378,69638282,1674345044,11981060.92766008468772755557502868,7382.709200071407075949054369,1.4765418400142814151898108738,3301662720907735934927,1792.312221,3041326875175064037587,1626.38,1.2323965706621705e-07,0.0,1.7743002263698793e-18,
19379,69832133,1674431333,12003707.56458120709105587719258851,1616.9945211672039976350075715,0.3233989042334407995270015143,3299684688106195931602,1795.818246,3037367840103626617603,1630.7,2.6941584714016124e-08,0.0,1.60366424160275e-18,
19380,70019333,1674517499,11990145.65537555016129656772976794,916.5555353274726283087467955,0.1833111070654945256617493591,3304782121680056478817,1795.597141,3025369393324663653968,1628.76,1.52884804183601e-08,0.0,1.845639873520789e-18,
19381,70222581,1674604624,11558070.97336127320870881986773841,82159.3148523475745708302228595,16.4318629704695149141660445719,3311225824864442304546,1714.617586,3073911281317691898626,1554.6025,1.4216786701120995e-06,0.0,1.748619122425259e-18,
19382,70458782,1674689898,11981528.57349465836055930367710871,28782.315847442665019305631015,5.756463169488533003861126203,3308254231578607665053,1764.092503,3114124009691487221166,1600.97268,4.80444805867499e-07,0.0,1.7591240981019514e-18,
19383,70666106,1674777542,11980716.79224976034389681075705538,65837.8296157240621245239421675,13.1675659231448124249047884335,3271990264567032837358,1768.625482,3152530205307876861803,1600.64,1.099063282395826e-06,0.0,1.7224100232972711e-18,
19384,70856228,1674863945,11778425.30330724719296514306783753,11647.584427908920860334450009,2.3295168855817841720668900018,3219088022483118192289,1764.565104,3113496957053048902229,1598.358159,1.9777829596012997e-07,0.0,1.781300138672436e-18,
19385,71006987,1674949847,11562698.80654950126960048135703908,64930.317292252297788852653668,12.9860634584504595577705307336,3187036749268056388861,1734.51448,3137888685561921423445,1570.06,1.1230996911460426e-06,0.0,1.7495231519148578e-18,
19386,71166287,1675036429,12746562.11106843705326508014493713,254403.583137612671540778448161,50.8807166275225343081556896322,3350007037376845409618,1818.032678,3301731735441194572564,1645.88,3.991720762364655e-06,0.0,1.6372780200582644e-18,
19387,71369117,1675122913,12179714.32115358705487685015134074,24367.913378934282376728743702,4.8735826757868564753457487404,3365240572477884070876,1730.458962,3311664362468774615905,1565.747278,4.001393257083604e-07,0.0,1.507293910181735e-18,
19388,71535505,1675208739,12312669.25411294266563551869945027,134372.7565921617373594353596545,26.8745513184323474718870719309,3440299345444057693805,1749.885717,3226010238632784238129,1585.8056,2.1826746714125482e-06,0.0,1.7892968513466667e-18,
19389,71743410,1675293587,12735587.95905611294159859440141099,3871.27586037866301829795046,0.774255172075732603659590092,3438856828728872525146,1810.606579,3224795957322416521048,1641.3,6.079461541664982e-08,0.0,1.825759794619308e-18,
19390,71982769,1675381052,12814281.79139454923401146017907012,6044.0832883771766585629197025,1.2088166576754353317125839405,3438976225623698894124,1820.007958,3226404617256909253047,1650.1752,9.43335473149356e-08,0.0,1.840451218653375e-18,
19391,72169811,1675468482,10775146.46513512782976867816887882,29202.3949135460017130846455195,5.8404789827092003426169291039,2883415066011434784469,1836.379839,2672937705459066463836,1665.3001,5.420324449052357e-07,0.0,2.2107813773410617e-18,
19392,72320467,1675554610,11772376.4112363020785354043930782,60052.0938505709881279401036385,12.0104187701141976255880207277,3109255956579047264433,1837.902365,2902703610409430649275,1662.372615,1.020220416894816e-06,0.0,1.958110523004718e-18,
19393,72478203,1675641404,11677117.33917281058257071167737876,12548.7982339774309097030869695,2.5097596467954861819406173939,3144890379250115535991,1801.950651,2994835894564126959741,1629.36,2.1492972742305886e-07,0.0,1.787134409049722e-18,
19394,72651268,1675726180,11783159.27703248421851444383869534,35146.5907010486146213643643915,7.0293181402097229242728728783,3188768827120697122350,1783.944937,3070560009858241933920,1610.365468,5.965563203334729e-07,0.0,1.975407018742798e-18,
