blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
16957634,1680392603,52666525.583606356462451880236872,926731.50984999520246606406581069,2023-04-01 23:42:56
16964627,1680477719,52428523.422040748706576115820124,3004162.714999601578406422593125822,2023-04-02 23:21:36
16971688,1680563867,52429070.997676108551358511178494,5542350.518947336662114791614828584,2023-04-03 23:17:20
16978213,1680644267,52429070.997676108551358511178494,1862729.800716573653647794150274073,2023-04-04 21:37:04
16985685,1680735911,55915635.487944488740825742774806,3569008.050236055533050249234149099,2023-04-05 23:04:32
16992093,1680815171,54209425.525075309129319359073596,1041806.375314001894574930559416121,2023-04-06 21:07:12
16999780,1680909203,54209425.525075309129319359073596,268729.2972776670038545972245098972,2023-04-07 23:13:04
17006727,1680994223,54174849.16692519858499286478312,2142940.803421351199239214659256749,2023-04-08 22:49:36
17013969,1681083011,54174849.16692519858499286478312,3414483.201681750701625467414903122,2023-04-09 23:30:08
17020070,1681157639,53814252.942862593694446778459431,249552.7576519582827581494652339861,2023-04-10 20:13:52
17027933,1681253855,56046101.502257604575411065002381,1708216.015205949743350608093779018,2023-04-11 22:58:08
17034349,1681332131,53157001.60946675997834663972402,4590437.627196837839131493072081883,2023-04-12 20:41:36
17041515,1681427339,56695883.449507659090453435130688,12358315.05980540381165125290570658,2023-04-13 23:08:48
17048673,1681515587,77442263.53736997967550232766766,12135038.75017434380696981079684903,2023-04-14 23:40:48
17055791,1681603199,80945960.057467693399530575650572,3570610.801509569927373357354459707,2023-04-16 00:00:00
17062453,1681684955,81870164.74466315022040504877282,8778195.24358431868668102135795984,2023-04-16 22:43:12
17068970,1681764695,54509133.22351775997280829923192,1236869.69303284297655469465077932,2023-04-17 20:52:16
17076302,1681854311,54509133.22351775997280829923192,287588.7079625808306579964164774227,2023-04-18 21:45:36
17082862,1681934279,54509133.22351775997280829923192,2007665.824542853437975996881261419,2023-04-19 19:58:56
17090681,1682030351,54509133.22351775997280829923192,5090897.606292378999966380724113574,2023-04-20 22:38:56
17097400,1682112251,54509133.22351775997280829923192,4265835.663051499639709396069246933,2023-04-21 21:24:16
17104951,1682203643,48147981.3157047799491567011394,6437416.816361028649573458805477147,2023-04-22 22:47:28
17111922,1682288147,48147981.3157047799491567011394,564246.2962322681185328202872656828,2023-04-23 22:15:28
17119362,1682378279,47718436.527267742563964912130867,2338860.70359726460667312489828713,2023-04-24 23:17:20
17126355,1682463059,54589537.58286580782723119180853,13323809.65738875938778394183361044,2023-04-25 22:51:44
17133438,1682549015,55749348.729278746635307941699515,3049335.299484278892701147391365004,2023-04-26 22:43:12
17140746,1682637779,56961923.896999067474815396068925,4533757.887064219195691173604837028,2023-04-27 23:23:44
17147522,1682719979,56757274.390050894380957395446706,2083349.036366112247528402608049393,2023-04-28 22:13:20
17154969,1682810471,56757274.390050894380957395446706,5040659.397337476356862732094494225,2023-04-29 23:21:36
17161416,1682888651,56769006.418274439868189397125196,1980545.026014409650915624686367173,2023-04-30 21:05:04
17168876,1682979299,51134456.514232449927051356188824,2126684.169904326206065866474035621,2023-05-01 22:15:28
17175131,1683055355,51134456.514232449927051356188824,1987836.070805860337099546840836917,2023-05-02 19:22:40
17183594,1683158243,52197844.37113638975790627111133,4614704.602544584589681145535291811,2023-05-03 23:57:52
17190720,1683244679,53375465.561082346594363551477318,3233479.853193082264976263603373175,2023-05-04 23:57:52
17197352,1683325067,54430853.853722014834426685774118,3041644.442164661240577715658465711,2023-05-05 22:17:36
17203956,1683405359,54430853.853722014834426685774118,4136361.152704391750395484550579632,2023-05-06 20:35:12
17211484,1683496835,54430853.853722014834426685774118,564949.2956178547511599617041073955,2023-05-07 22:00:32
17218939,1683587327,54430853.853722014834426685774118,3526451.560903136943596649995628103,2023-05-08 23:08:48
17225828,1683671027,55348585.656162795928090336622092,7361901.43122833990070134433610965,2023-05-09 22:24:00
17232556,1683752807,57887945.563324918086166891971738,6348910.465506268789235970921070215,2023-05-10 21:07:12
17240390,1683848795,57887945.563324918086166891971738,4304161.929697930268043745787917839,2023-05-11 23:47:12
17246977,1683931187,54792271.555077068800499005995264,3071555.983756594920597403501506547,2023-05-12 22:38:56
17253901,1684015655,60450777.54026513103478653501,4002028.765930404583892011468670847,2023-05-13 22:06:56
17261291,1684106219,60433796.952919515055954234824993,2211844.770230191094101664591351866,2023-05-14 23:17:20
17268260,1684191251,65515173.790491195236598184966536,409645.9209649496828904936298005986,2023-05-15 22:53:52
17275393,1684278239,65361692.97226402161981850042437,4978764.114796500597547480225521786,2023-05-16 23:04:32
17282502,1684365023,64885332.112142478675041023305696,4982821.937220516563345279523505628,2023-05-17 23:10:56
17289702,1684452539,66035572.004608179006122001698682,1795984.603354022232806561710956212,2023-05-18 23:28:00
17296658,1684537343,66035575.641026173939672355795517,589245.3023896949947559355552453011,2023-05-19 23:02:24
17302239,1684605119,65774847.392356770288819792499192,822553.9522079455892855373638458339,2023-05-20 17:50:56
17311006,1684711919,66119440.612704056702774151785384,3093742.979809433493511381318687651,2023-05-21 23:32:16
17317527,1684791167,66119440.612704056702774151785384,4209407.410405344361301494544567358,2023-05-22 21:32:48
17325277,1684885523,67023756.106082720354299454631724,807693.643347410489784649917428394,2023-05-23 23:45:04
17332228,1684969991,65128753.053074151010798695717807,1591918.354203150420530013660776957,2023-05-24 23:13:04
17339509,1685058443,62638652.948176989350410252764255,1891197.091537341175156593097968674,2023-05-25 23:47:12
17346432,1685142491,63839279.066865784489486253434979,823836.3726865998804554385062405199,2023-05-26 23:08:48
17353729,1685230919,64494633.660326478296495553411824,444999.9463757577335011751245477638,2023-05-27 23:42:56
17360925,1685318135,65115199.567377428372600701560875,4555709.904660305931184629786875176,2023-05-28 23:55:44
17367705,1685400479,65115199.567377428372600701560875,4686604.035029522908331397341739566,2023-05-29 22:47:28
17375045,1685489771,65115199.567377428372600701560875,2138005.838106458486500060440976845,2023-05-30 23:36:32
17382111,1685575751,66266072.899063669059933131887682,4518981.771329258686198504591509243,2023-05-31 23:30:08
17389102,1685660819,63611212.75557042055020221654744,9288590.15413280638575179134361191,2023-06-01 23:06:40
17396423,1685750027,61514314.14384207725667861548787,3957715.647507018413431376310739031,2023-06-02 23:53:36
17403084,1685831003,62451280.149673411632978337740146,11236621.95642989326675171342048362,2023-06-03 22:24:00
17410515,1685921627,62407782.060574894983886325175249,733447.3772842571316429392884829106,2023-06-04 23:34:24
17417344,1686005063,53413491.80360479119848519431655,9474368.77852506547525142158599399,2023-06-05 22:45:20
17424641,1686093899,32841220.045960832539451239922975,2697838.233926265949420873724338161,2023-06-06 23:25:52
17431485,1686177335,32841220.045960832539451239922975,5918219.258100903894232877458877889,2023-06-07 22:34:40
17438154,1686258683,32841220.045960832539451239922975,3140281.021739738024384480874151133,2023-06-08 21:11:28
17445432,1686347315,32486310.891267702167354548186112,2825809.660683487909125603258562824,2023-06-09 21:47:44
17453132,1686440963,30936846.100398730702195816655968,14764766.5029144530017241736845694,2023-06-10 23:49:20
17459096,1686513623,30936846.103906630027541327035466,1933205.231718381217140690770381007,2023-06-11 20:01:04
17467252,1686612803,30518789.977729941980197104675432,6350535.106276835397432778579262418,2023-06-12 23:34:24
17474123,1686696287,30890537.329219281538456809812859,6745763.689676230573205959434532328,2023-06-13 22:45:20
17481570,1686786935,30748597.49476744414889321095751,2774971.489321087150289703166296763,2023-06-14 23:55:44
17488297,1686868763,28832793.604284737469230612964568,16176182.06025474956327811321735367,2023-06-15 22:38:56
17495121,1686951551,28832793.604284737469230612964568,3014239.395820928894208597198142841,2023-06-16 21:39:12
17502907,1687045751,28832793.604284737469230612964568,2573426.195487764043096301531176249,2023-06-17 23:49:20
17509555,1687126391,30404919.257219825036692429348176,1203016.196664487776401582044949217,2023-06-18 22:13:20
17517192,1687219007,29834539.13805342752667891578482,6180128.405879162506254176583613583,2023-06-19 23:55:44
17524259,1687304771,30932079.533334573944288208543,1176475.805425722705242995192423837,2023-06-20 23:47:12
17531301,1687390043,30922293.79797370638224028907914,1624567.340963974312343177583111158,2023-06-21 23:28:00
17538489,1687477331,33221019.414327300659686746229248,505455.1138842049925227355713422996,2023-06-22 23:42:56
17545065,1687557179,32403258.618591728691187945635824,1915163.492782183620915088910749953,2023-06-23 21:52:00
17552275,1687644887,32685155.609347966806971684791752,2075859.50485942681954129240075495,2023-06-24 22:15:28
17559170,1687728635,33121807.252603344784821943035488,443339.907704803568804519602692652,2023-06-25 21:30:40
17566991,1687823747,30198174.312639591620013674244456,1342021.869793561084162048315812687,2023-06-26 23:55:44
17573946,1687908407,29378555.239749972936249771485886,512188.4781241782393858212903612828,2023-06-27 23:25:52
17580966,1687993343,29378555.239749972936249771485886,578148.1150182777810243679231959481,2023-06-28 23:02:24
17588295,1688082107,28777947.685163930247748218962554,490560.3248839554413268385978741448,2023-06-29 23:40:48
17595121,1688164895,28777947.685163930247748218962554,2842512.675037252287641791337268494,2023-06-30 22:41:04
17602540,1688255051,28777947.685163930247748218962554,633788.6944873608720307926475443515,2023-07-01 23:45:04
17609340,1688337443,30144882.33439637005619564813578,538708.3963175660984317427707035788,2023-07-02 22:36:48
17616324,1688422307,30837039.668922547026253282354292,201871.8035798487398495393700098514,2023-07-03 22:11:12
17623099,1688504483,30559583.451120502902575463394544,183999.6503682122129924104353016928,2023-07-04 21:00:48
17631093,1688601431,30559583.451120502902575463394544,238790.1650826040328175243021991846,2023-07-05 23:57:52
17638203,1688687747,30559583.451120502902575463394544,409376.0198277232505868351790770648,2023-07-06 23:55:44
17644584,1688765183,30559583.451120502902575463394544,116547.3818728577669505790660742836,2023-07-07 21:26:24
17652269,1688858495,30559583.451120502902575463394544,299752.5033447725414478792626064171,2023-07-08 23:21:36
17659461,1688945879,30559583.451120502902575463394544,114500.9036006446543523845683229582,2023-07-09 23:38:40
17666661,1689033431,28463760.528498152207061381927359,172995.564764497038269679853429774,2023-07-10 23:57:52
17672819,1689108155,28463760.528498152207061381927359,329046.419553784236483928884930595,2023-07-11 20:41:36
17680732,1689204383,28463760.528498152207061381927359,434637.3225736531195201123137181795,2023-07-12 23:25:52
