day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
18659,11773401,1612223671,228603645.22310168,4218783.264058890677084670116573,843.7566528117781354169340233146,88355.39201958297,88567.80020312069,1218.972799,1365.065243,176710.77197858057,1293.6599317828295,3.663937143167426e-06,3.6521320308680233e-17,2.1122581853824395e-18
18660,11779920,1612310380,249285646.97348922,9180979.5687243955375330832385995,1836.1959137448791075066166477199,95985.8974075952,96171.93419160842,1218.972799,1375.468322,191912.77464822982,1298.9528572572726,7.341908379937424e-06,3.3544481031691366e-17,1.87663182966031e-18
18661,11786390,1612396556,289230195.04595697,6942437.916329728954791986793564,1388.4875832659457909583973587128,104909.11416279612,104073.994934714,1218.972799,1550.328097,208704.71733616755,1385.8344877757813,5.105091886505786e-06,3.1083571174866036e-17,1.841779893189994e-18
18662,11792883,1612482618,293025990.3866042,2114588.541720276903088096553348,422.9177083440553806176193106696,105924.5500147194,105723.97255104782,1218.972799,1550.328097,211352.86819171486,1386.4301577436127,1.53547076810366e-06,2.806262834095009e-17,2.124134881983392e-18
18663,11799366,1612569503,307422052.67187166,3929495.4555894936514868924892955,785.8990911178987302973784978591,107526.18777638167,107584.4603011873,1218.972799,1639.182407,214794.71511790075,1431.2365762962454,2.8076115695504282e-06,2.932997247080854e-17,2.1729266609461906e-18
18664,11805796,1612655037,319831785.3360734,2888914.9291309307783637654633815,577.7829858261861556727530926763,110180.59170014081,109937.88041506166,1218.972799,1687.54064,219779.06514093725,1455.2422685526283,2.0173082082948207e-06,2.6846285817556656e-17,2.06382671964386e-18
18665,11812434,1612742275,332976429.19634986,6151331.613761065275719464462582,1230.2663227522130551438928925164,114278.50697363056,114767.03617944417,1218.972799,1687.54064,228675.06847550572,1456.11164092432,4.128327537596522e-06,2.3599184583115392e-17,1.8421508189759513e-18
18666,11818831,1612827936,388725882.64599335,1893129.36542760402970371826456,378.625873085520805940743652912,115926.4883221325,115874.30898824813,1738.180079,1615.757381,231410.470362536,1679.8111253868562,1.2555127031030787e-06,2.2968005685565537e-17,1.869927761191094e-18
18667,11825367,1612914820,425259246.9450631,2886207.443338597619730957385481,577.2414886677195239461914770962,122050.29917624571,122080.52660247336,1738.180079,1745.682577,243705.5332076164,1744.9716522553404,1.8175483671991552e-06,2.2877554264111882e-17,1.914519169763809e-18
18668,11831899,1613001392,400967910.67180526,14259368.359051116107258506643378,2851.8736718102232214517013286756,117605.07924728049,112591.54861517875,1738.180079,1745.682577,229769.6998098762,1745.0861057989266,7.024566365110477e-06,1.5122410636797375e-17,1.3909787528325002e-18
