,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
165,15221175,1658879852,1175674.289246347248515708746463039,240912.7160811115349199920367391,2022-07-26 23:57:52
166,15227261,1658961281,1333585.235732521651773505743459981,324511.8050466221670610156872357,2022-07-27 22:34:40
167,15233727,1659048371,5604.184519359140802257646040970928,461432.1975679234425858890448256,2022-07-28 22:45:20
168,15240453,1659138911,146821.9864204584807083153492258716,2816776.2234733371246672028111117,2022-07-29 23:55:44
169,15246456,1659219784,1388877.918792735879146803963108001,613946.8687642884372586730993492,2022-07-30 22:24:00
170,15252877,1659305793,1429847.615853876042300338762388195,125865.6841425775141602440709154,2022-07-31 22:17:36
171,15259443,1659394199,1483082.384379701530847688788473055,365604.9436577516922789515382855,2022-08-01 22:49:36
172,15266147,1659484261,1500699.566459203494024356667939232,582786.587878055318686155061644,2022-08-02 23:51:28
173,15272543,1659571097,1499725.11636614368997446767776285,2038021.0359255432840171088697902,2022-08-03 23:57:52
174,15278862,1659656660,1468879.007220205943048569863560511,1804533.8008334880876314226029651,2022-08-04 23:45:04
175,15285005,1659738362,1608929.279697971242129126395328082,1059075.2197862946536020993287233,2022-08-05 22:26:08
176,15291765,1659829593,1900255.714814889333060940249977997,1439474.3344528898296874249537288,2022-08-06 23:47:12
177,15298167,1659915148,1900681.1022369216511774632879729,2110118.7691185401279136384995181,2022-08-07 23:32:16
178,15304571,1660001692,1998535.052890180898911541929603724,2508007.8651218809265323443223044,2022-08-08 23:34:24
179,15311029,1660089398,1915896.189050136594495680933475092,1229997.9141872398161316624774382,2022-08-09 23:55:44
180,15317405,1660175747,2081823.807031406166475052938756836,2176573.8740190062766757689514651,2022-08-10 23:55:44
181,15323563,1660260182,2115907.84709578284908430113823439,1658194.1946769726872333308205509,2022-08-11 23:23:44
182,15329963,1660347294,2239181.422564875054325772593062357,2238161.9060613487047547378063799,2022-08-12 23:34:24
183,15336128,1660430781,2286239.280972074661009501697917285,216252.0416721461609368100844608,2022-08-13 22:45:20
184,15342594,1660519045,2233298.491849082092536001227722387,353525.4651484746599636254890172,2022-08-14 23:17:20
185,15348912,1660606292,2188947.763394335095201405959819258,172578.9370334962427169882112603,2022-08-15 23:32:16
186,15355177,1660690974,2152228.566425551920766605245189482,135960.8106727058063582892512814,2022-08-16 23:02:24
187,15361596,1660779131,2114365.731272900329940089698763809,1268544.4726467380164753951402712,2022-08-17 23:32:16
188,15368010,1660866422,2162832.262319575030387470902601134,334643.5292736092556810563679928,2022-08-18 23:47:12
189,15374221,1660952326,1896956.990826443088294548035921912,129655.7501480896428905012526114,2022-08-19 23:38:40
190,15380575,1661038890,1838561.253870831800430651841684264,195978.2607051418616634073431618,2022-08-20 23:40:48
191,15386967,1661125387,1946218.859142131209863115530791155,725627.2020923001001965636910322,2022-08-21 23:42:56
192,15392473,1661201458,1896847.911342296013088043061838426,245249.2737276898656945690927881,2022-08-22 20:50:08
193,15399160,1661291934,1979424.136419583480307938954325641,1652331.4072172835680466989315424,2022-08-23 21:58:24
194,15405711,1661382591,1901470.37801458368265498428541953,3202735.797734680920317479575366,2022-08-24 23:08:48
195,15411899,1661469172,1936419.823347132021237761606869671,1333111.1324272464984637504536038,2022-08-25 23:13:04
196,15418334,1661558024,1725536.493165105381052815068821477,738121.5696766696773383235821168,2022-08-26 23:53:36
197,15424570,1661644525,1716989.606367214731224173414300195,516384.7918270516214741123332233,2022-08-27 23:55:44
198,15430800,1661730879,1617369.31318973508897454497391319,1247711.7164109788649531939895215,2022-08-28 23:53:36
199,15437147,1661817510,1441625.450500180793073148946265051,526708.902375759112617374825699,2022-08-29 23:57:52
200,15443316,1661903255,1419439.083385426134606911528079133,861143.7989538124571423555899946,2022-08-30 23:47:12
201,15449560,1661989510,1433016.496020959563217881435600856,481406.2296774457935787946278705,2022-08-31 23:45:04
202,15455844,1662076282,1545829.039392718554972954350209077,333611.7700507313651603579575782,2022-09-01 23:51:28
203,15462135,1662162812,1525081.025689759488323749156852232,1127463.5078298952910483378041328,2022-09-02 23:53:36
204,15468208,1662247519,1509081.530595274364339264878545355,423789.3316548054450165098416685,2022-09-03 23:25:52
205,15474576,1662335078,1366700.687970496294559871239563857,419468.4305616751336958359776498,2022-09-04 23:45:04
206,15480339,1662415861,1398488.909351057078288650157611559,898411.1217098733597834729648613,2022-09-05 22:11:12
207,15487042,1662508370,1392638.039157175519329114253016561,714966.5141096017755972732164286,2022-09-06 23:53:36
208,15493265,1662594899,1457074.987297189875212080325254132,848424.8191977888044210550789706,2022-09-07 23:55:44
209,15499557,1662681158,1440066.138349798284617344023469997,4265130.8982336852235579148479878,2022-09-08 23:53:36
210,15505265,1662762471,1479148.638579847084565897454134566,1980635.9802996503714300023115173,2022-09-09 22:28:16
211,15511677,1662854167,1526835.004057330956958394525937484,508889.2691626408836192193236256,2022-09-10 23:55:44
212,15517740,1662940635,1538550.280498439668735487817419241,711791.0871808628903499828569278,2022-09-11 23:57:52
213,15523645,1663025011,665431.3597275456814081498300275455,1236643.7405284845816288682779555,2022-09-12 23:23:44
214,15529859,1663113464,633070.999929335247645292837405314,717932.3472936830462787095131968,2022-09-13 23:57:52
215,15535731,1663199187,102630.2900952120723173938635728718,575253.9551692140462633350179801,2022-09-14 23:47:12
216,15542450,1663285751,135022.0102871001365592875874017048,2036944.2098532813043937614995349,2022-09-15 23:49:20
217,15549496,1663371599,962296.4560669428215935858163870805,968465.6775750882813366446077953,2022-09-16 23:40:48
218,15556705,1663458959,1006350.671879304797180483410834965,443144.9007300463911152635446143,2022-09-17 23:55:44
219,15563824,1663545227,914294.9918856721324384652601287005,709304.9310613323829615816316813,2022-09-18 23:53:36
220,15570677,1663628339,927402.0817677803346589480309247776,451618.5262699235990936211046381,2022-09-19 22:58:08
221,15578089,1663718051,1183474.174497161674334065052676133,1018396.2999293755497769533128676,2022-09-20 23:53:36
222,15585148,1663804511,1502446.577051501970910501983733989,683272.4609877907210100159122116,2022-09-21 23:55:44
223,15592316,1663891103,1583473.604373142780955975397418388,570206.7617665702236779272106458,2022-09-22 23:57:52
224,15599482,1663977491,1581331.258446272558377272452525312,340726.5674382970829887399021734,2022-09-23 23:57:52
225,15606635,1664063711,1558598.356174996406652902081637551,240692.7999271618470671680493795,2022-09-24 23:55:44
226,15613791,1664149967,1589891.173640188012610692710216957,138346.1174499260222579285124553,2022-09-25 23:53:36
227,15620088,1664226107,1629931.624038075528689892757212787,260715.0320103770556751358551398,2022-09-26 21:00:48
228,15627979,1664321543,1626169.221747260043023046335881711,580811.8717195109065593996190881,2022-09-27 23:32:16
229,15635126,1664407775,1664246.542407880626653273153849716,466979.3382137824155163142688213,2022-09-28 23:30:08
230,15642231,1664493587,1709704.843845729405824854608567038,240778.7740254533928974489595286,2022-09-29 23:19:28
231,15649391,1664579963,1702724.766632291196222434263038366,652771.4166756619911633270441957,2022-09-30 23:19:28
232,15656719,1664668655,2243688.964248200682768366387334898,372259.5301427541900048106855406,2022-10-01 23:57:52
233,15663542,1664750807,2478960.857395245592334308199907385,300735.9556794280070028364197454,2022-10-02 22:47:28
234,15670969,1664840471,2330176.929002488110645819148740654,331165.1158984060258321256057347,2022-10-03 23:40:48
235,15678160,1664927579,2324230.551439084710077048273292844,511557.971592470690420576935281,2022-10-04 23:53:36
236,15685341,1665014375,2311068.39982818285320247156605291,528718.1712498002878637720938532,2022-10-06 00:00:00
237,15692494,1665100727,2301607.924830189410000156948744281,182071.9051195184595732610184008,2022-10-06 23:57:52
238,15699635,1665187067,2278550.077085321744859220178261421,278428.3141761654387754761014683,2022-10-07 23:57:52
239,15706451,1665269231,2238150.204847109170160704261158624,268232.933623579375286982248352,2022-10-08 22:47:28
240,15713213,1665350747,2252395.532147996879907849481803136,562485.6223714121223115044036756,2022-10-09 21:26:24
241,15721111,1665446027,2204046.116446031623368330853747303,2335653.0855162679284964290074841,2022-10-10 23:53:36
242,15728255,1665532187,2179632.856284339993821915192448056,1015140.988847906810935708379174,2022-10-11 23:49:20
243,15735243,1665616463,2212554.72665945891767723647686805,212400.6851967207931320132798074,2022-10-12 23:15:12
244,15741886,1665696683,2211558.159550646446577262269870792,433411.4138623227726823335698402,2022-10-13 21:30:40
245,15748886,1665781103,2216423.006992138675031753167645792,2043216.2515063263436362197716544,2022-10-14 20:58:40
246,15756690,1665875183,2172646.410290969169849686562547022,201809.3110876473887106597718984,2022-10-15 23:06:40
247,15764005,1665963503,2104215.273023906617484265742215314,162280.5231607322748406259239805,2022-10-16 23:38:40
248,15770985,1666047815,1775464.748587721475796868578387837,357196.5904973651566548557014874,2022-10-17 23:04:32
249,15777791,1666129823,1746720.472423278094236912753247282,888090.1072775137606524759833917,2022-10-18 21:49:52
250,15785162,1666218863,1695961.618124960639507390382726674,856939.6864176017652506750887443,2022-10-19 22:34:40
251,15792113,1666302707,1681193.799888976332198618159829144,513249.1176112932820435420884214,2022-10-20 21:52:00
252,15799812,1666395491,1772667.340328019652252417881571795,1223580.3805545253993588240044024,2022-10-21 23:38:40
253,15807033,1666482563,1799796.819303011128871843579742423,655891.2206092052030394370889554,2022-10-22 23:49:20
254,15814163,1666568567,1812930.458980140122160230019092313,691994.2430626050802488875822621,2022-10-23 23:42:56
255,15821340,1666655663,1483383.973013873719808189434313001,1072917.4097780542728533351119837,2022-10-24 23:53:36
256,15828467,1666741763,1534387.538907851640593224510070833,1702653.7793151925414764543850319,2022-10-25 23:49:20
257,15835667,1666828559,1661982.389915646761506189444467668,854688.2852168030441585872846164,2022-10-26 23:55:44
258,15842814,1666914791,1619375.759295354869959278655111259,2610514.020803137754970477320483,2022-10-27 23:53:36
259,15849975,1667001299,1671272.647994058261695731506367185,1154388.049134764385454820377608,2022-10-28 23:55:44
260,15856824,1667084051,1851730.315360438265269186179469749,2200556.3402939561687483343563418,2022-10-29 22:53:52
261,15864213,1667173139,2012459.450682434718527773358062947,1095955.6704088924536342971511658,2022-10-30 23:38:40
262,15871367,1667259443,1803073.889897388165698451869183138,1344827.8004613348312506191761067,2022-10-31 23:36:32
263,15878547,1667346359,1780924.533757112688021310160018357,922050.0914510578316412412548214,2022-11-01 23:45:04
264,15885766,1667433527,2023622.304057030716388546547456292,1650679.8060460201223488506341187,2022-11-02 23:57:52
265,15892890,1667519555,1911299.550628309785101635925787812,907570.5279756263394547018675926,2022-11-03 23:53:36
