timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1639093768,18970,13774029,4845741867.170616186118858837359528,1.1833333333333333e+23,394882.83,8.149068621985192e-05,9.862307732369467e+20,3660.933996871115,7.554950505460376e-07
1639180485,18971,13780478,4841920503.410495480430388059070968,1.1833333333333333e+23,372344.945,7.69002598736869e-05,9.862307732369467e+20,3435.8909278800425,7.09613246533046e-07
1639265839,18972,13786888,4836725396.559553571709794053523952,1.1833333333333333e+23,381826.4033333333,7.894316340657526e-05,9.862307732369467e+20,3649.8556665953442,7.546129596672059e-07
1639352830,18973,13793449,4861460585.260439132050351526247,1.1833333333333333e+23,357662.7366666667,7.357104524328997e-05,9.862307732369467e+20,3702.147594653914,7.61529900268765e-07
1639438988,18974,13799922,4863282663.51160929990308980168008,1.1833333333333333e+23,289012.12666666665,5.942737584123497e-05,9.862307732369467e+20,3293.5640200711255,6.772306378122295e-07
1639526258,18975,13806376,4863864570.429202094083425706378248,1.1833333333333333e+23,316973.11,6.516898351304821e-05,9.862307732369467e+20,3366.179205673789,6.920791393204328e-07
1639612143,18976,13812810,4290387013.395192201069125816705355,1.1833333333333333e+23,303791.4866666667,7.080747860698509e-05,9.862307732369467e+20,3550.5994291152315,8.275708969912878e-07
1639698952,18977,13819246,4286140478.747220696619848182538912,1.1833333333333333e+23,411820.945,9.608199895500615e-05,9.481652589349892e+20,3736.273647791093,8.717104971984386e-07
1639785294,18978,13825705,4293026957.037520596332979807122085,1.1833333333333333e+23,390532.66,9.096906772500073e-05,9.481652589349892e+20,4075.658024243765,9.493669769677489e-07
1639870737,18979,13832143,4296048791.509018933523945658185991,1.1833333333333333e+23,372589.185,8.672834110646245e-05,9.481652589349892e+20,4287.68389495103,9.980528860439104e-07
1639957772,18980,13838654,4140057938.681020604495956785298854,1.1833333333333333e+23,337476.60833333334,8.151494817989187e-05,9.481652589349892e+20,3970.3908208662847,9.590181779270486e-07
1640044627,18981,13845226,4145723773.58146973865629084313516,1.1833333333333333e+23,315516.545,7.61065044928034e-05,9.481652589349892e+20,3907.599524758574,9.425614773612422e-07
1640128568,18982,13851466,4550158846.901698326847114053491708,1.1833333333333333e+23,325801.0133333333,7.160211858431673e-05,9.481652589349892e+20,4084.332788197761,8.976242205211961e-07
1640215911,18983,13857961,4550968148.14558268194166309342273,1.1833333333333333e+23,367474.93666666665,8.074654111046776e-05,9.481652589349892e+20,4923.267512972921,1.0818066294265412e-06
1640302351,18984,13864412,4548309291.649685299971781942427754,1.1833333333333333e+23,354782.62166666664,7.800318732018023e-05,9.164630977156646e+20,4730.433337968031,1.040042141956509e-06
1640388949,18985,13870884,4526247226.466139240053275193078019,1.1833333333333333e+23,337725.93666666665,7.461499996993e-05,9.164630977156646e+20,4719.972828170704,1.0428004905635294e-06
1640475788,18986,13877377,4518387475.549833955540158166626259,1.1833333333333333e+23,339963.0283333333,7.523990144115824e-05,9.164630977156646e+20,5290.630571077708,1.1709112154959444e-06
1640561100,18987,13883763,4520673754.208348451115541478758777,1.1833333333333333e+23,321563.73333333334,7.113181592323178e-05,9.164630977156646e+20,5340.858247611112,1.181429702295868e-06
1640649486,18988,13890383,4555123710.94570001461687013705916,1.1833333333333333e+23,335009.7133333333,7.354568933623565e-05,9.164630977156646e+20,4863.885944868092,1.0677835012867939e-06
1640735000,18989,13896769,4566690547.50646370203523306848,1.1833333333333333e+23,303524.05333333334,6.646477359826049e-05,9.164630977156646e+20,4395.982044476969,9.626187714596282e-07
1640821626,18990,13903298,4546528715.29493980119170577729002,1.1833333333333333e+23,332123.445,7.30498949413222e-05,9.164630977156646e+20,4485.461835485536,9.865684605479407e-07
1640908511,18991,13909767,4553295447.7176979514732305647493,1.1833333333333333e+23,341396.16333333333,7.497781930765229e-05,8.62131694754799e+20,4357.407564922074,9.56978877157244e-07
1640992986,18992,13916012,4562404430.69360753153668594372766,1.1833333333333333e+23,391414.3616666667,8.579124617568401e-05,8.62131694754799e+20,4576.90715653834,1.0031787462214366e-06
1641081113,18993,13922626,4333220332.712456772719166555602193,1.1833333333333333e+23,427869.54833333334,9.874170143236191e-05,8.62131694754799e+20,5343.058591847783,1.23304567540954e-06
1641165759,18994,13928998,4403868634.100376935619942343654213,1.1833333333333333e+23,432564.305,9.822370759439429e-05,8.62131694754799e+20,5237.700063826883,1.1893406681729598e-06
1641254208,18995,13935616,4408310192.246216838558527459638631,1.1833333333333333e+23,415597.08,9.42758249478438e-05,8.62131694754799e+20,5444.685813893783,1.2350958930863007e-06
