timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1654300257,19146,14900052,572850602.937022520813491452976351,0.0,0.0,0.0,0.0,0.0,0.0
1654385306,19147,14905853,544455544.031086632038372949414449,0.0,0.0,0.0,0.0,0.0,0.0
1654472918,19148,14911883,542620026.347053432050427766702549,0.0,0.0,0.0,0.0,0.0,0.0
1654557288,19149,14917571,536818304.755168103884021741750248,0.0,0.0,0.0,0.0,0.0,0.0
1654632084,19150,14922694,488567847.495017515158377855517307,0.0,0.0,0.0,0.0,0.0,0.0
1654727634,19151,14929202,469266161.7254393825867985886341,0.0,0.0,0.0,0.0,0.0,0.0
1654817172,19152,14935234,431368465.2926638456402398958176,0.0,0.0,0.0,0.0,0.0,0.0
1654905385,19153,14941253,305461882.54178717327108091262331,0.0,0.0,0.0,0.0,0.0,0.0
1654989727,19154,14946976,248916716.768206390280995307350658,0.0,0.0,0.0,0.0,0.0,0.0
1655071482,19155,14952513,218906360.83561497755724148070375,0.0,0.0,0.0,0.0,0.0,0.0
1655162795,19156,14958649,186017456.81087195481395616709168,0.0,0.0,0.0,0.0,0.0,0.0
1655246895,19157,14964277,59409315.798320364168248185789406,0.0,0.0,0.0,0.0,0.0,0.0
1655336288,19158,14970209,54233531.910835069185110170678144,0.0,0.0,0.0,0.0,0.0,0.0
1655423834,19159,14976114,50254902.895653918379368798972462,0.0,0.0,0.0,0.0,0.0,0.0
1655509448,19160,14981935,26620331.202253364418215260873558,0.0,0.0,0.0,0.0,0.0,0.0
1655595600,19161,14987719,24989636.424598523968482054156984,0.0,0.0,0.0,0.0,0.0,0.0
1655682494,19162,14993471,20111503.401610573647164232824096,0.0,0.0,0.0,0.0,0.0,0.0
1655767525,19163,14999233,22416512.985067689003746091824184,0.0,0.0,0.0,0.0,0.0,0.0
1655851832,19164,15004620,22506119.467185652674337726347378,0.0,0.0,0.0,0.0,0.0,0.0
1655940032,19165,15010060,22454333.354067643092939416369868,0.0,0.0,0.0,0.0,0.0,0.0
1656018084,19166,15014822,22455516.481849600852713377765948,0.0,0.0,0.0,0.0,0.0,0.0
1656104422,19167,15020205,22586130.774015892070754822960493,0.0,0.0,0.0,0.0,0.0,0.0
1656197746,19168,15025990,24245583.33090415639719403565762,0.0,0.0,0.0,0.0,0.0,0.0
1656280071,19169,15031053,24244332.3296055210570746408229,0.0,0.0,0.0,0.0,0.0,0.0
